school,test,college,subject,style,direction,Remarks,polite,language,math,project
(10451)鲁东大学,统考,(114)电子信息硕士教育中心,(085410)(专业学位)人工智能,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(847)电路分析
(10451)鲁东大学,统考,(114)电子信息硕士教育中心,(085403)(专业学位)集成电路工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(852)大学物理
(10452)临沂大学,统考,(019)自动化与电气工程学院,(085406)(专业学位)控制工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(808)自动控制原理
(10452)临沂大学,统考,(020)信息科学与工程学院,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(810)数据结构
(10446)曲阜师范大学,统考,(111)网络空间安全学院,(085412)(专业学位)网络与信息安全,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(870)数据结构与算法设计
(10445)山东师范大学,统考,(017)信息科学与工程学院,(085406)(专业学位)控制工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(921)自动控制原理
(10435)青岛农业大学,统考,(131)理学与信息科学学院（软件服务外包学院）,(085400)(专业学位)电子信息,全日制,(03)控制工程,不招收同等学力考生,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(917)C语言程序设计
(11646)宁波大学,统考,(010)信息科学与工程学院,(081200)计算机科学与技术,全日制,(00)不区分研究方向,同等学力加试科目为计算机导论、电路原理,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
(12044)上海第二工业大学,统考,(007)智能制造与控制工程学院,(085400)(专业学位)电子信息,全日制,(08)电子与测控技术（职业技术教育）,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)单片机原理与应用
(11458)上海电机学院,统考,(030)电子信息学院,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)信息技术基础
(91004)陆军工程大学,统考,(201)石家庄校区,(081200)计算机科学与技术,全日制,(02)计算机仿真,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
(91004)陆军工程大学,统考,(201)石家庄校区,(081200)计算机科学与技术,全日制,(03)战场网络技术,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
(91004)陆军工程大学,统考,(201)石家庄校区,(081200)计算机科学与技术,全日制,(01)人工智能及其应用,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
(11458)上海电机学院,统考,(030)电子信息学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)信息技术基础
(11458)上海电机学院,统考,(030)电子信息学院,(085411)(专业学位)大数据技术与工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)信息技术基础
(91004)陆军工程大学,统考,(103)指挥控制工程学院,(081200)计算机科学与技术,全日制,(04)服务计算,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
(13021)浙大城市学院,统考,(002)信息与电气工程学院,(085400)(专业学位)电子信息,全日制,(06)控制工程,研究方向有：复杂网络系统控制与优化、智能系统与装备、先进机器人技术、智慧交通与飞行汽车、新能源与智能电网,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(801)自动控制原理
(91019)海军航空大学,统考,(000)不区分院系所,(085400)(专业学位)电子信息,非全日制,(24)信息系统设计及应用（非全）,军校应届生须报考全日制研究方向。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(817)通信原理
(91019)海军航空大学,统考,(000)不区分院系所,(085400)(专业学位)电子信息,非全日制,(22)控制系统与设备的管理、使用与维护（非全）,军校应届生须报考全日制研究方向。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(814)脉冲与数字电路
(91019)海军航空大学,统考,(000)不区分院系所,(085400)(专业学位)电子信息,非全日制,(23)信息化作战与辅助决策（非全）,军校应届生须报考全日制研究方向。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(817)通信原理
(91004)陆军工程大学,统考,(103)指挥控制工程学院,(081200)计算机科学与技术,全日制,(03)人工智能,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
(11482)浙江财经大学,统考,(006)信息管理与人工智能学院,(085400)(专业学位)电子信息,全日制,(03)物联网与智慧供应链,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(911)数据结构
(91007)陆军炮兵防空兵学院,统考,(000)不区分院系所,(085400)(专业学位)电子信息,非全日制,(02)计算机专业基础,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(803)计算机专业基础
(11646)宁波大学,统考,(070)科教融合学院,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,本专业只招收本科生,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(408)计算机学科专业基础
(91019)海军航空大学,统考,(000)不区分院系所,(085400)(专业学位)电子信息,非全日制,(20)机电一体化控制技术（非全）,军校应届生须报考全日制研究方向。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(808)程序设计
