,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10259)上海应用技术大学,统考,(018)理学院,(085400)(专业学位)电子信息,非全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(843)工程光学
1,(10259)上海应用技术大学,统考,(018)理学院,(085400)(专业学位)电子信息,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(843)工程光学
2,(10259)上海应用技术大学,统考,(015)轨道交通学院,(085400)(专业学位)电子信息,非全日制,(02)光电信息感知与智能处理技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(843)工程光学
3,(10259)上海应用技术大学,统考,(015)轨道交通学院,(085400)(专业学位)电子信息,非全日制,(03)轨交智能控制与检测技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(854)微机原理
4,(10259)上海应用技术大学,统考,(015)轨道交通学院,(085400)(专业学位)电子信息,非全日制,(01)智能计算与大数据技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(816)数据结构与算法
5,(10259)上海应用技术大学,统考,(015)轨道交通学院,(085400)(专业学位)电子信息,全日制,(02)光电信息感知与智能处理技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(843)工程光学
6,(10259)上海应用技术大学,统考,(010)电气与电子工程学院,(085400)(专业学位)电子信息,非全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(844)信号与系统
7,(10259)上海应用技术大学,统考,(015)轨道交通学院,(085400)(专业学位)电子信息,全日制,(01)智能计算与大数据技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(816)数据结构与算法
8,(10259)上海应用技术大学,统考,(014)计算机科学与信息工程学院,(085400)(专业学位)电子信息,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(408)计算机学科专业基础
9,(10259)上海应用技术大学,统考,(014)计算机科学与信息工程学院,(085400)(专业学位)电子信息,非全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(408)计算机学科专业基础
10,(10259)上海应用技术大学,统考,(009)机械工程学院,(085400)(专业学位)电子信息,非全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(853)机械设计基础
11,(10259)上海应用技术大学,统考,(010)电气与电子工程学院,(085400)(专业学位)电子信息,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(844)信号与系统
12,(10259)上海应用技术大学,统考,(009)机械工程学院,(085400)(专业学位)电子信息,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(853)机械设计基础
13,(10259)上海应用技术大学,统考,(015)轨道交通学院,(085400)(专业学位)电子信息,全日制,(03)轨交智能控制与检测技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(854)微机原理
