,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10252)上海理工大学,统考,(002)光电信息与计算机工程学院,(081200)计算机科学与技术,全日制,(06)嵌入式系统与移动计算,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(848)数据结构及操作系统
1,(10252)上海理工大学,统考,(002)光电信息与计算机工程学院,(081200)计算机科学与技术,全日制,(05)工业4.0及控制应用,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(848)数据结构及操作系统
2,(10252)上海理工大学,统考,(002)光电信息与计算机工程学院,(081200)计算机科学与技术,全日制,(02)人工智能及应用,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(848)数据结构及操作系统
3,(10252)上海理工大学,统考,(002)光电信息与计算机工程学院,(081200)计算机科学与技术,全日制,(04)网络计算与物联网技术,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(848)数据结构及操作系统
4,(10252)上海理工大学,统考,(002)光电信息与计算机工程学院,(081200)计算机科学与技术,全日制,(01)并行计算架构与云计算,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(848)数据结构及操作系统
5,(10252)上海理工大学,统考,(002)光电信息与计算机工程学院,(081200)计算机科学与技术,全日制,(03)数据科学与大数据分析,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(848)数据结构及操作系统
6,(10252)上海理工大学,统考,(010)出版印刷与艺术设计学院,(085400)(专业学位)电子信息,全日制,(03)数字出版与跨媒体技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(848)数据结构及操作系统
7,(10252)上海理工大学,统考,(010)出版印刷与艺术设计学院,(085400)(专业学位)电子信息,全日制,(01)智能媒体与数据挖掘,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(848)数据结构及操作系统
8,(10252)上海理工大学,统考,(009)健康科学与工程学院,(085400)(专业学位)电子信息,全日制,(01)生物医学工程,与交大医学院、海军军医大学、上海健康医学院等合作培养若干人,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(854)C程序设计
9,(10252)上海理工大学,统考,(002)光电信息与计算机工程学院,(085406)(专业学位)控制工程,全日制,(00)不区分研究方向,与上海健康医学院、上海工业自动化仪表研究院、新华医院等联合培养若干人,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(867)自动控制原理综合
10,(10252)上海理工大学,统考,(010)出版印刷与艺术设计学院,(085400)(专业学位)电子信息,全日制,(02)虚拟现实与网络技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(848)数据结构及操作系统
11,(10252)上海理工大学,统考,(002)光电信息与计算机工程学院,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,与上海电器科学研究院、新华医院、长海医院等联合培养若干人,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(848)数据结构及操作系统
12,(10252)上海理工大学,统考,(002)光电信息与计算机工程学院,(085400)(专业学位)电子信息,全日制,(01)光学工程,与中科院上海光学精密机械研究所、上海健康医学院、上海微系统所长海医院、长征医院、海军军医医院、新华医院联合培养若干人,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(865)工程光学
13,(10252)上海理工大学,统考,(002)光电信息与计算机工程学院,(085400)(专业学位)电子信息,全日制,(02)仪器仪表工程,与上海技术物理研究所、上海工业自动化仪表研究院、上海自动化仪表股份有限公司、新华医院、长海医院、海军军医医院等联合培养若干人,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(808)传感器技术
