,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10256)上海电力大学,统考,(080)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
1,(10256)上海电力大学,统考,(080)计算机科学与技术学院,(085410)(专业学位)人工智能,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(840)数据结构
2,(10256)上海电力大学,统考,(080)计算机科学与技术学院,(085411)(专业学位)大数据技术与工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(840)数据结构
3,(10256)上海电力大学,统考,(070)数理学院,(085411)(专业学位)大数据技术与工程,全日制,(00)不区分研究方向,备注：主要研究方向为数据科学基础理论、大数据统计分析、数据挖掘与决策支持，即大数据技术与工程（数据科学与技术）。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(809)概率论与数理统计
4,(10256)上海电力大学,统考,(050)电子与信息工程学院,(085403)(专业学位)集成电路工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(851)电子技术综合（含模电与数电）
5,(10256)上海电力大学,统考,(080)计算机科学与技术学院,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(840)数据结构
6,(10256)上海电力大学,统考,(050)电子与信息工程学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(851)电子技术综合（含模电与数电）
7,(10256)上海电力大学,统考,(050)电子与信息工程学院,(085401)(专业学位)新一代电子信息技术（含量子技术等）,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(850)信号与系统
8,(10256)上海电力大学,统考,(040)自动化工程学院,(085410)(专业学位)人工智能,全日制,(00)不区分研究方向,备注：主要研究方向为智能机器人和智能自主系统，即人工智能（机器人与智能系统）。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(830)自动控制原理
9,(10256)上海电力大学,统考,(040)自动化工程学院,(085406)(专业学位)控制工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(830)自动控制原理
