,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10300)南京信息工程大学,统考,(011)计算机学院、软件学院、网络空间安全学院,(081200)计算机科学与技术,全日制,(00)不区分研究方向,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(816)数据结构
1,(10300)南京信息工程大学,统考,(036)南信大-国科大南京学院研究生联合培养基地,(085405)(专业学位)软件工程,全日制,(00)不区分研究方向,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(816)数据结构
2,(10300)南京信息工程大学,统考,(036)南信大-国科大南京学院研究生联合培养基地,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(816)数据结构
3,(10300)南京信息工程大学,统考,(035)金牛湖产教融合园区,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(816)数据结构
4,(10300)南京信息工程大学,统考,(035)金牛湖产教融合园区,(085400)(专业学位)电子信息,全日制,(02)010电子信息,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)信号与系统
5,(10300)南京信息工程大学,统考,(035)金牛湖产教融合园区,(085400)(专业学位)电子信息,全日制,(01)009电子信息,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(817)自动控制原理
6,(10300)南京信息工程大学,统考,(034)南信大无锡研究生联合培养基地,(085400)(专业学位)电子信息,全日制,(03)011电子信息,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(816)数据结构
7,(10300)南京信息工程大学,统考,(034)南信大无锡研究生联合培养基地,(085400)(专业学位)电子信息,全日制,(01)009电子信息,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(817)自动控制原理
8,(10300)南京信息工程大学,统考,(036)南信大-国科大南京学院研究生联合培养基地,(085400)(专业学位)电子信息,全日制,(01)010电子信息,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)信号与系统
9,(10300)南京信息工程大学,统考,(013)物理与光电工程学院,(085408)(专业学位)光电信息工程,全日制,(00)不区分研究方向(101)思想政治理论,(204)英语（二）,(302)数学（二）,(820)普通物理学（光学）
10,(10300)南京信息工程大学,统考,(033)中科芯集成电路有限公司联合培养,(085400)(专业学位)电子信息,全日制,(01)010电子信息,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)信号与系统
11,(10300)南京信息工程大学,统考,(022)人工智能学院,(085410)(专业学位)人工智能,全日制,(00)不区分研究方向,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(835)数据结构与算法分析
12,(10300)南京信息工程大学,统考,(011)计算机学院、软件学院、网络空间安全学院,(085405)(专业学位)软件工程,全日制,(00)不区分研究方向,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(816)数据结构
13,(10300)南京信息工程大学,统考,(011)计算机学院、软件学院、网络空间安全学院,(085412)(专业学位)网络与信息安全,全日制,(00)不区分研究方向,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(816)数据结构
14,(10300)南京信息工程大学,统考,(032)国防科技大学第六十三研究所联合培养,(085400)(专业学位)电子信息,全日制,(01)010电子信息,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)信号与系统
15,(10300)南京信息工程大学,统考,(034)南信大无锡研究生联合培养基地,(085400)(专业学位)电子信息,全日制,(02)010电子信息,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)信号与系统
16,(10300)南京信息工程大学,统考,(011)计算机学院、软件学院、网络空间安全学院,(085400)(专业学位)电子信息,全日制,(01)沃特福德学院中外合作办学,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(816)数据结构
17,(10300)南京信息工程大学,统考,(010)电子与信息工程学院,(085400)(专业学位)电子信息,全日制,(00)不区分研究方向,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)信号与系统
18,(10300)南京信息工程大学,统考,(009)自动化学院,(085411)(专业学位)大数据技术与工程,全日制,(00)不区分研究方向,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(815)数据结构Ⅱ
19,(10300)南京信息工程大学,统考,(009)自动化学院,(085400)(专业学位)电子信息,全日制,(02)雷丁学院中外合作办学,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(815)数据结构Ⅱ
20,(10300)南京信息工程大学,统考,(009)自动化学院,(085400)(专业学位)电子信息,全日制,(03)沃特福德学院中外合作办学,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(817)自动控制原理
21,(10300)南京信息工程大学,统考,(011)计算机学院、软件学院、网络空间安全学院,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(816)数据结构
22,(10300)南京信息工程大学,统考,(009)自动化学院,(085400)(专业学位)电子信息,全日制,(01)控制工程等方向（非中外合作办学）,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(817)自动控制原理
