,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10284)南京大学,统考,(037)人工智能学院,(081200)计算机科学与技术,全日制,(02)智能系统与应用,详细招生目录及说明、考试科目等请查询南京大学研究生招生网，拟招收推免生人数以最后确认录取人数为准，本专业最终录取人数根据教育部下达计划及实际录取推免人数进行相应的调整（可能增加或减少）,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(855)数据结构、算法、人工智能、概率统计
1,(10284)南京大学,统考,(033)计算机科学与技术系,(081200)计算机科学与技术,全日制,(15)网络空间安全,详细招生目录及说明、考试科目等请查询南京大学研究生招生网，拟招收推免生人数以最后确认录取人数为准，本专业最终录取人数根据教育部下达计划及实际录取推免人数进行相应的调整（可能增加或减少）,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
2,(10284)南京大学,统考,(033)计算机科学与技术系,(081200)计算机科学与技术,全日制,(13)自然语言处理,详细招生目录及说明、考试科目等请查询南京大学研究生招生网，拟招收推免生人数以最后确认录取人数为准，本专业最终录取人数根据教育部下达计划及实际录取推免人数进行相应的调整（可能增加或减少）,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
3,(10284)南京大学,统考,(033)计算机科学与技术系,(081200)计算机科学与技术,全日制,(14)数据库与信息检索,详细招生目录及说明、考试科目等请查询南京大学研究生招生网，拟招收推免生人数以最后确认录取人数为准，本专业最终录取人数根据教育部下达计划及实际录取推免人数进行相应的调整（可能增加或减少）,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
4,(10284)南京大学,统考,(037)人工智能学院,(081200)计算机科学与技术,全日制,(01)机器学习与数据挖掘,详细招生目录及说明、考试科目等请查询南京大学研究生招生网，拟招收推免生人数以最后确认录取人数为准，本专业最终录取人数根据教育部下达计划及实际录取推免人数进行相应的调整（可能增加或减少）,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(855)数据结构、算法、人工智能、概率统计
5,(10284)南京大学,统考,(033)计算机科学与技术系,(081200)计算机科学与技术,全日制,(12)媒体计算与内容处理,详细招生目录及说明、考试科目等请查询南京大学研究生招生网，拟招收推免生人数以最后确认录取人数为准，本专业最终录取人数根据教育部下达计划及实际录取推免人数进行相应的调整（可能增加或减少）,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
6,(10284)南京大学,统考,(033)计算机科学与技术系,(081200)计算机科学与技术,全日制,(11)人工智能与模式识别,详细招生目录及说明、考试科目等请查询南京大学研究生招生网，拟招收推免生人数以最后确认录取人数为准，本专业最终录取人数根据教育部下达计划及实际录取推免人数进行相应的调整（可能增加或减少）,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
7,(10284)南京大学,统考,(033)计算机科学与技术系,(081200)计算机科学与技术,全日制,(09)语义万维网技术,详细招生目录及说明、考试科目等请查询南京大学研究生招生网，拟招收推免生人数以最后确认录取人数为准，本专业最终录取人数根据教育部下达计划及实际录取推免人数进行相应的调整（可能增加或减少）,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
8,(10284)南京大学,统考,(033)计算机科学与技术系,(081200)计算机科学与技术,全日制,(07)大数据与云计算,详细招生目录及说明、考试科目等请查询南京大学研究生招生网，拟招收推免生人数以最后确认录取人数为准，本专业最终录取人数根据教育部下达计划及实际录取推免人数进行相应的调整（可能增加或减少）,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
9,(10284)南京大学,统考,(033)计算机科学与技术系,(081200)计算机科学与技术,全日制,(10)机器学习与数据挖掘,详细招生目录及说明、考试科目等请查询南京大学研究生招生网，拟招收推免生人数以最后确认录取人数为准，本专业最终录取人数根据教育部下达计划及实际录取推免人数进行相应的调整（可能增加或减少）,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
