,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(11287)南京审计大学,统考,(009)信息工程学院,(085400)(专业学位)电子信息,全日制,(05)计算机智能审计技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(911)数据结构
1,(11287)南京审计大学,统考,(009)信息工程学院,(085400)(专业学位)电子信息,全日制,(04)网络与信息安全,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(911)数据结构
2,(11287)南京审计大学,统考,(009)信息工程学院,(081200)计算机科学与技术,全日制,(04)计算机软件与理论,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(911)数据结构
3,(11287)南京审计大学,统考,(009)信息工程学院,(081200)计算机科学与技术,全日制,(01)计算机智能审计,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(911)数据结构
4,(11287)南京审计大学,统考,(009)信息工程学院,(081200)计算机科学与技术,全日制,(03)模式识别与机器学习,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(911)数据结构
5,(11287)南京审计大学,统考,(009)信息工程学院,(081200)计算机科学与技术,全日制,(05)计算机网络与信息安全,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(911)数据结构
6,(11287)南京审计大学,统考,(009)信息工程学院,(081200)计算机科学与技术,全日制,(02)大数据审计,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(911)数据结构
7,(11287)南京审计大学,统考,(009)信息工程学院,(085400)(专业学位)电子信息,全日制,(02)大数据审计技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(911)数据结构
8,(11287)南京审计大学,统考,(003)商学院,(085400)(专业学位)电子信息,全日制,(03)供应链风险管理,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(912)管理学
9,(11287)南京审计大学,统考,(003)商学院,(085400)(专业学位)电子信息,全日制,(01)物流系统优化与决策,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(912)管理学
10,(11287)南京审计大学,统考,(009)信息工程学院,(085400)(专业学位)电子信息,全日制,(01)计算机技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(911)数据结构
11,(11287)南京审计大学,统考,(003)商学院,(085400)(专业学位)电子信息,全日制,(02)电子商务与智慧物流,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(912)管理学
12,(11287)南京审计大学,统考,(009)信息工程学院,(085400)(专业学位)电子信息,全日制,(03)人工智能,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(911)数据结构
