,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10291)南京工业大学,统考,(020)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(03)软件理论与方法,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(828)数据结构与操作系统
1,(10291)南京工业大学,统考,(020)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(01)网络与服务计算,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(828)数据结构与操作系统
2,(10291)南京工业大学,统考,(020)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(02)人工智能,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(828)数据结构与操作系统
3,(10291)南京工业大学,单考,(006)电气工程与控制科学学院,(085400)(专业学位)电子信息,全日制,(03)智能科学与技术,备注：,(111)单独考试思想政治理论,(243)英语（单考),(621)数学（单考）,(820)自动控制原理
4,(10291)南京工业大学,单考,(006)电气工程与控制科学学院,(085400)(专业学位)电子信息,全日制,(02)电气工程自动化,备注：,(111)单独考试思想政治理论,(243)英语（单考),(621)数学（单考）,(820)自动控制原理
5,(10291)南京工业大学,统考,(020)计算机科学与技术学院,(085400)(专业学位)电子信息,全日制,(04)机器视觉【中法合作办学 勃艮第大学 Université de Bourgogne】,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(828)数据结构与操作系统
6,(10291)南京工业大学,单考,(006)电气工程与控制科学学院,(085400)(专业学位)电子信息,全日制,(01)工业控制及智能化,备注：,(111)单独考试思想政治理论,(243)英语（单考),(621)数学（单考）,(820)自动控制原理
7,(10291)南京工业大学,统考,(022)柔性电子（未来技术）学院,(085400)(专业学位)电子信息,全日制,(01)光电信息工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(872)电子技术基础
8,(10291)南京工业大学,统考,(020)计算机科学与技术学院,(085400)(专业学位)电子信息,全日制,(05)电子与通信工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(817)信号系统与数字电路
9,(10291)南京工业大学,统考,(020)计算机科学与技术学院,(085400)(专业学位)电子信息,全日制,(03)人工智能,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(828)数据结构与操作系统
10,(10291)南京工业大学,统考,(027)联合培养（盐城师范学院）,(085400)(专业学位)电子信息,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(828)数据结构与操作系统
11,(10291)南京工业大学,统考,(020)计算机科学与技术学院,(085400)(专业学位)电子信息,非全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(817)信号系统与数字电路
12,(10291)南京工业大学,统考,(006)电气工程与控制科学学院,(085400)(专业学位)电子信息,全日制,(03)智能科学与技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(820)自动控制原理
13,(10291)南京工业大学,统考,(020)计算机科学与技术学院,(085400)(专业学位)电子信息,全日制,(02)软件技术与应用,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(828)数据结构与操作系统
14,(10291)南京工业大学,统考,(020)计算机科学与技术学院,(085400)(专业学位)电子信息,全日制,(01)网络与服务计算,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(828)数据结构与操作系统
15,(10291)南京工业大学,统考,(006)电气工程与控制科学学院,(085400)(专业学位)电子信息,全日制,(01)工业控制及智能化,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(820)自动控制原理
16,(10291)南京工业大学,统考,(006)电气工程与控制科学学院,(085400)(专业学位)电子信息,全日制,(02)电气工程自动化,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(820)自动控制原理
17,(10291)南京工业大学,统考,(006)电气工程与控制科学学院,(085400)(专业学位)电子信息,非全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(820)自动控制原理
