,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10293)南京邮电大学,统考,(020)南京邮电大学-国科大南京学院联合培养,(081200)计算机科学与技术,全日制,(05)大数据分析与处理,不招收同等学力考生。招收学院为计算机学院。拟招生人数受国家最终下达计划数影响，以最终录取人数为准，此数据仅供参考。,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
1,(10293)南京邮电大学,统考,(020)南京邮电大学-国科大南京学院联合培养,(081200)计算机科学与技术,全日制,(02)分布式计算技术与应用,不招收同等学力考生。招收学院为计算机学院。拟招生人数受国家最终下达计划数影响，以最终录取人数为准，此数据仅供参考。,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
2,(10293)南京邮电大学,统考,(020)南京邮电大学-国科大南京学院联合培养,(081200)计算机科学与技术,全日制,(03)模式识别与机器学习,不招收同等学力考生。招收学院为计算机学院。拟招生人数受国家最终下达计划数影响，以最终录取人数为准，此数据仅供参考。,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
3,(10293)南京邮电大学,统考,(020)南京邮电大学-国科大南京学院联合培养,(081200)计算机科学与技术,全日制,(04)物联网与传感网,不招收同等学力考生。招收学院为计算机学院。拟招生人数受国家最终下达计划数影响，以最终录取人数为准，此数据仅供参考。,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
4,(10293)南京邮电大学,统考,(020)南京邮电大学-国科大南京学院联合培养,(081200)计算机科学与技术,全日制,(06)嵌入式系统设计与应用,不招收同等学力考生。招收学院为计算机学院。拟招生人数受国家最终下达计划数影响，以最终录取人数为准，此数据仅供参考。,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
5,(10293)南京邮电大学,统考,(004)计算机学院/软件学院/网络空间安全学院,(081200)计算机科学与技术,全日制,(05)大数据分析与处理,不招收同等学力考生。最终接收推免生人数以实际录取为准。拟招生人数受国家最终下达计划数和实际接收推免生人数影响，以最终录取人数为准，此数据仅供参考。,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
6,(10293)南京邮电大学,统考,(020)南京邮电大学-国科大南京学院联合培养,(081200)计算机科学与技术,全日制,(01)智能计算技术与应用,不招收同等学力考生。招收学院为计算机学院。拟招生人数受国家最终下达计划数影响，以最终录取人数为准，此数据仅供参考。,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
7,(10293)南京邮电大学,统考,(004)计算机学院/软件学院/网络空间安全学院,(081200)计算机科学与技术,全日制,(04)物联网与传感网,不招收同等学力考生。最终接收推免生人数以实际录取为准。拟招生人数受国家最终下达计划数和实际接收推免生人数影响，以最终录取人数为准，此数据仅供参考。,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
8,(10293)南京邮电大学,统考,(004)计算机学院/软件学院/网络空间安全学院,(081200)计算机科学与技术,全日制,(01)智能计算技术与应用,不招收同等学力考生。最终接收推免生人数以实际录取为准。拟招生人数受国家最终下达计划数和实际接收推免生人数影响，以最终录取人数为准，此数据仅供参考。,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
9,(10293)南京邮电大学,统考,(004)计算机学院/软件学院/网络空间安全学院,(081200)计算机科学与技术,全日制,(06)嵌入式系统设计与应用,不招收同等学力考生。最终接收推免生人数以实际录取为准。拟招生人数受国家最终下达计划数和实际接收推免生人数影响，以最终录取人数为准，此数据仅供参考。,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
