,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(11059)合肥学院,统考,(002)人工智能与大数据学院,(085400)(专业学位)电子信息,全日制,(10)人工智能,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)数据结构
1,(11059)合肥学院,统考,(002)人工智能与大数据学院,(085400)(专业学位)电子信息,全日制,(12)网络与信息安全,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)数据结构
2,(11059)合肥学院,统考,(002)人工智能与大数据学院,(085400)(专业学位)电子信息,全日制,(11)大数据技术与工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)数据结构
3,(11059)合肥学院,统考,(002)人工智能与大数据学院,(085400)(专业学位)电子信息,全日制,(05)软件工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)数据结构
4,(11059)合肥学院,统考,(001)先进制造工程学院,(085400)(专业学位)电子信息,全日制,(10)人工智能,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)数字电子技术
5,(11059)合肥学院,统考,(001)先进制造工程学院,(085400)(专业学位)电子信息,全日制,(08)光电信息工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)数字电子技术
6,(11059)合肥学院,统考,(001)先进制造工程学院,(085400)(专业学位)电子信息,全日制,(07)仪器仪表工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)数字电子技术
7,(11059)合肥学院,统考,(002)人工智能与大数据学院,(085400)(专业学位)电子信息,全日制,(04)计算机技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)数据结构
8,(11059)合肥学院,统考,(001)先进制造工程学院,(085400)(专业学位)电子信息,全日制,(06)控制工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)数字电子技术
9,(11059)合肥学院,统考,(001)先进制造工程学院,(085400)(专业学位)电子信息,全日制,(01)新一代电子信息技术（含量子技术等）,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)数字电子技术
10,(11059)合肥学院,统考,(001)先进制造工程学院,(085400)(专业学位)电子信息,全日制,(03)集成电路工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)数字电子技术
11,(11059)合肥学院,统考,(001)先进制造工程学院,(085400)(专业学位)电子信息,全日制,(02)通信工程（含宽带网络、移动通信等）,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)数字电子技术
