,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10357)安徽大学,统考,(029)联合培养（中科院合肥物质科学研究院）,(085400)(专业学位)电子信息,全日制,(03)机器学习方法及应用,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(834)计算机专业基础（数据结构、操作系统）
1,(10357)安徽大学,统考,(029)联合培养（中科院合肥物质科学研究院）,(085400)(专业学位)电子信息,全日制,(05)计算机技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(834)计算机专业基础（数据结构、操作系统）
2,(10357)安徽大学,统考,(029)联合培养（中科院合肥物质科学研究院）,(085400)(专业学位)电子信息,全日制,(06)检测技术及应用,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(834)计算机专业基础（数据结构、操作系统）
3,(10357)安徽大学,统考,(029)联合培养（中科院合肥物质科学研究院）,(085400)(专业学位)电子信息,全日制,(04)激光雷达技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(834)计算机专业基础（数据结构、操作系统）
4,(10357)安徽大学,统考,(029)联合培养（中科院合肥物质科学研究院）,(085400)(专业学位)电子信息,全日制,(02)光电检测技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(834)计算机专业基础（数据结构、操作系统）
5,(10357)安徽大学,统考,(029)联合培养（中科院合肥物质科学研究院）,(085400)(专业学位)电子信息,全日制,(01)大数据与云计算,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(834)计算机专业基础（数据结构、操作系统）
6,(10357)安徽大学,统考,(026)人工智能学院,(085410)(专业学位)人工智能,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(834)计算机专业基础（数据结构、操作系统）
7,(10357)安徽大学,统考,(027)集成电路学院,(085403)(专业学位)集成电路工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(841)专业综合一（信号与系统 、数字电路与逻辑?
8,(10357)安徽大学,统考,(025)互联网学院,(085400)(专业学位)电子信息,全日制,(02)智能信息处理及应用,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(838)数据结构
9,(10357)安徽大学,统考,(026)人工智能学院,(085406)(专业学位)控制工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(831)自动控制理论
10,(10357)安徽大学,统考,(024)物质科学与信息技术研究院,(085410)(专业学位)人工智能,全日制,(07)仪器仪表工程,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(834)计算机专业基础（数据结构、操作系统）
11,(10357)安徽大学,统考,(025)互联网学院,(085400)(专业学位)电子信息,全日制,(01)智能感知技术及应用,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(837)数字电路与逻辑设计
