,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10360)安徽工业大学,统考,(019)工程研究院,(085400)(专业学位)电子信息,全日制,(01)计算机技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(861)数据结构
1,(10360)安徽工业大学,统考,(006)计算机科学与技术学院,(085400)(专业学位)电子信息,全日制,(02)计算机技术(联合培养),备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(861)数据结构
2,(10360)安徽工业大学,统考,(006)计算机科学与技术学院,(085400)(专业学位)电子信息,非全日制,(01)计算机技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(861)数据结构
3,(10360)安徽工业大学,统考,(005)电气与信息工程学院,(085400)(专业学位)电子信息,非全日制,(01)控制工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(840)电路
4,(10360)安徽工业大学,统考,(005)电气与信息工程学院,(085400)(专业学位)电子信息,全日制,(01)控制工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(840)电路
5,(10360)安徽工业大学,统考,(006)计算机科学与技术学院,(085400)(专业学位)电子信息,全日制,(01)计算机技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(861)数据结构
6,(10360)安徽工业大学,统考,(006)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(09)软件工程,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(861)数据结构
7,(10360)安徽工业大学,统考,(006)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(10)计算机科学与技术（联合培养）,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(861)数据结构
8,(10360)安徽工业大学,统考,(006)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(07)深度学习与智能交互,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(861)数据结构
9,(10360)安徽工业大学,统考,(006)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(06)图像处理与模式识别,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(861)数据结构
10,(10360)安徽工业大学,统考,(006)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(08)服务计算,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(861)数据结构
11,(10360)安徽工业大学,统考,(006)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(05)计算机网络与无线传感网络,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(861)数据结构
12,(10360)安徽工业大学,统考,(006)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(01)算法理论,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(861)数据结构
13,(10360)安徽工业大学,统考,(006)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(04)数据仓库与数据挖掘,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(861)数据结构
14,(10360)安徽工业大学,统考,(006)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(03)可信软件与信息安全,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(861)数据结构
15,(10360)安徽工业大学,统考,(006)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(02)人工智能与认知科学,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(861)数据结构
