,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10361)安徽理工大学,统考,(019)联合培养（中国科学院合肥物质科学研究院）,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(842)数据结构与C语言
1,(10361)安徽理工大学,统考,(019)联合培养（中国科学院合肥物质科学研究院）,(085407)(专业学位)仪器仪表工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(808)机械工程测试技术基础
2,(10361)安徽理工大学,统考,(019)联合培养（中国科学院合肥物质科学研究院）,(085406)(专业学位)控制工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(812)电路
3,(10361)安徽理工大学,统考,(018)联合培养（合肥综合性国家科学中心能源研究院）,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(842)数据结构与C语言
4,(10361)安徽理工大学,统考,(008)计算机科学与工程学院,(085404)(专业学位)计算机技术,非全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(842)数据结构与C语言
5,(10361)安徽理工大学,统考,(008)计算机科学与工程学院,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(842)数据结构与C语言
6,(10361)安徽理工大学,统考,(018)联合培养（合肥综合性国家科学中心能源研究院）,(085407)(专业学位)仪器仪表工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(808)机械工程测试技术基础
7,(10361)安徽理工大学,统考,(005)电气与信息工程学院,(085406)(专业学位)控制工程,非全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(812)电路
8,(10361)安徽理工大学,统考,(005)电气与信息工程学院,(085406)(专业学位)控制工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(812)电路
9,(10361)安徽理工大学,统考,(004)机械工程学院,(085407)(专业学位)仪器仪表工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(808)机械工程测试技术基础
10,(10361)安徽理工大学,统考,(004)机械工程学院,(085407)(专业学位)仪器仪表工程,非全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(808)机械工程测试技术基础
11,(10361)安徽理工大学,统考,(008)计算机科学与工程学院,(081200)计算机科学与技术,全日制,(04)机器学习与计算机视觉,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(842)数据结构与C语言
12,(10361)安徽理工大学,统考,(008)计算机科学与工程学院,(081200)计算机科学与技术,全日制,(03)智能物联网,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(842)数据结构与C语言
13,(10361)安徽理工大学,统考,(008)计算机科学与工程学院,(081200)计算机科学与技术,全日制,(02)智能信息处理,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(842)数据结构与C语言
14,(10361)安徽理工大学,统考,(021)矿山智能技术与装备省部共建协同创新中心,(081200)计算机科学与技术,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(842)数据结构与C语言
15,(10361)安徽理工大学,统考,(018)联合培养（合肥综合性国家科学中心能源研究院）,(081200)计算机科学与技术,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(842)数据结构与C语言
16,(10361)安徽理工大学,统考,(008)计算机科学与工程学院,(081200)计算机科学与技术,全日制,(01)大数据与信息安全,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(842)数据结构与C语言
