,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10292)常州大学,统考,(006)计算机与人工智能学院,(081200)计算机科学与技术,全日制,(04)脑机融合与机器智能,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(858)数据结构
1,(10292)常州大学,统考,(006)计算机与人工智能学院,(081200)计算机科学与技术,全日制,(03)生物信息计算与数据挖掘,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(858)数据结构
2,(10292)常州大学,统考,(006)计算机与人工智能学院,(081200)计算机科学与技术,全日制,(01)石油石化智能信息处理,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(858)数据结构
3,(10292)常州大学,统考,(006)计算机与人工智能学院,(081200)计算机科学与技术,全日制,(02)计算机视觉与机器学习,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(858)数据结构
4,(10292)常州大学,统考,(007)微电子与控制工程学院,(085409)(专业学位)生物医学工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(873)电路分析
5,(10292)常州大学,统考,(007)微电子与控制工程学院,(085410)(专业学位)人工智能,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(858)数据结构
6,(10292)常州大学,统考,(007)微电子与控制工程学院,(085406)(专业学位)控制工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(873)电路分析
7,(10292)常州大学,统考,(007)微电子与控制工程学院,(085401)(专业学位)新一代电子信息技术（含量子技术等）,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(873)电路分析
8,(10292)常州大学,统考,(007)微电子与控制工程学院,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(858)数据结构
9,(10292)常州大学,统考,(007)微电子与控制工程学院,(085405)(专业学位)软件工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(858)数据结构
