,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10452)临沂大学,统考,(020)信息科学与工程学院,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(810)数据结构
1,(10446)曲阜师范大学,统考,(111)网络空间安全学院,(085412)(专业学位)网络与信息安全,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(870)数据结构与算法设计
2,(91004)陆军工程大学,统考,(201)石家庄校区,(081200)计算机科学与技术,全日制,(02)计算机仿真,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
3,(91004)陆军工程大学,统考,(201)石家庄校区,(081200)计算机科学与技术,全日制,(03)战场网络技术,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
4,(91004)陆军工程大学,统考,(201)石家庄校区,(081200)计算机科学与技术,全日制,(01)人工智能及其应用,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
5,(91004)陆军工程大学,统考,(103)指挥控制工程学院,(081200)计算机科学与技术,全日制,(04)服务计算,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
6,(91004)陆军工程大学,统考,(103)指挥控制工程学院,(081200)计算机科学与技术,全日制,(03)人工智能,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
7,(11482)浙江财经大学,统考,(006)信息管理与人工智能学院,(085400)(专业学位)电子信息,全日制,(03)物联网与智慧供应链,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(911)数据结构
8,(11059)合肥学院,统考,(002)人工智能与大数据学院,(085400)(专业学位)电子信息,全日制,(10)人工智能,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)数据结构
9,(11059)合肥学院,统考,(002)人工智能与大数据学院,(085400)(专业学位)电子信息,全日制,(12)网络与信息安全,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)数据结构
10,(11059)合肥学院,统考,(002)人工智能与大数据学院,(085400)(专业学位)电子信息,全日制,(11)大数据技术与工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)数据结构
11,(11059)合肥学院,统考,(002)人工智能与大数据学院,(085400)(专业学位)电子信息,全日制,(05)软件工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)数据结构
12,(11059)合肥学院,统考,(002)人工智能与大数据学院,(085400)(专业学位)电子信息,全日制,(04)计算机技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)数据结构
13,(11482)浙江财经大学,统考,(006)信息管理与人工智能学院,(085400)(专业学位)电子信息,全日制,(02)数据智能与金融科技,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(911)数据结构
14,(11482)浙江财经大学,统考,(006)信息管理与人工智能学院,(085400)(专业学位)电子信息,全日制,(01)人机融合与智能决策,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(911)数据结构
15,(91004)陆军工程大学,统考,(103)指挥控制工程学院,(081200)计算机科学与技术,全日制,(02)无线网络,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
16,(13021)浙大城市学院,统考,(001)计算机与计算科学学院,(085400)(专业学位)电子信息,全日制,(05)软件工程,研究方向有：大规模信息系统、大数据与智慧应用、智能软件工程,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(881)程序设计与数据结构
17,(13021)浙大城市学院,统考,(001)计算机与计算科学学院,(085400)(专业学位)电子信息,全日制,(04)计算机技术,研究方向有：物联网协同感知与计算、高性能图计算技术与平台、计算机视觉与深度学习,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(881)程序设计与数据结构
18,(91004)陆军工程大学,统考,(103)指挥控制工程学院,(081200)计算机科学与技术,全日制,(01)军事信息网络,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
19,(91004)陆军工程大学,统考,(101)通信工程学院,(081200)计算机科学与技术,全日制,(03)战场信息处理,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
20,(91004)陆军工程大学,统考,(101)通信工程学院,(081200)计算机科学与技术,全日制,(01)网络体系结构与应用管理,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
21,(91004)陆军工程大学,统考,(101)通信工程学院,(081200)计算机科学与技术,全日制,(02)人工智能,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
22,(14423)上海科技大学,统考,(003)信息科学与技术学院,(085400)(专业学位)电子信息,全日制,(02)计算机科学与技术方向,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(991)数据结构与算法
23,(12044)上海第二工业大学,统考,(001)计算机与信息工程学院,(085400)(专业学位)电子信息,全日制,(07)计算机与人工智能（职业技术教育）,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)数据结构与高级程序设计
24,(12044)上海第二工业大学,统考,(001)计算机与信息工程学院,(085400)(专业学位)电子信息,全日制,(01)大数据与智能信息服务,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)数据结构与高级程序设计
25,(12044)上海第二工业大学,统考,(001)计算机与信息工程学院,(085400)(专业学位)电子信息,全日制,(04)图像处理与机器视觉（上海市计算技术研究所联培),备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)数据结构与高级程序设计
26,(12044)上海第二工业大学,统考,(001)计算机与信息工程学院,(085400)(专业学位)电子信息,全日制,(05)分布式计算与数据安全(上海市计算技术研究所联培),备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)数据结构与高级程序设计
27,(12044)上海第二工业大学,统考,(001)计算机与信息工程学院,(085400)(专业学位)电子信息,非全日制,(02)计算机与人工智能,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)数据结构与高级程序设计
28,(12044)上海第二工业大学,统考,(001)计算机与信息工程学院,(085400)(专业学位)电子信息,全日制,(02)计算机与人工智能,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)数据结构与高级程序设计
