,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10299)江苏大学,统考,(013)计算机科学与通信工程学院,(081200)计算机科学与技术,全日制,(05)服务计算与软件系统,本专业不招收同等学力身份考生,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(851)数据结构与算法设计
1,(10299)江苏大学,统考,(013)计算机科学与通信工程学院,(081200)计算机科学与技术,全日制,(04)数据处理与数据工程,本专业不招收同等学力身份考生,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(851)数据结构与算法设计
2,(10299)江苏大学,统考,(013)计算机科学与通信工程学院,(081200)计算机科学与技术,全日制,(03)物联网设备与系统（含农业物联网）,本专业不招收同等学力身份考生,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(851)数据结构与算法设计
3,(10299)江苏大学,统考,(013)计算机科学与通信工程学院,(081200)计算机科学与技术,全日制,(02)系统安全与信息安全,本专业不招收同等学力身份考生,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(851)数据结构与算法设计
4,(10299)江苏大学,统考,(013)计算机科学与通信工程学院,(081200)计算机科学与技术,全日制,(01)多媒体与智能计算,本专业不招收同等学力身份考生,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(851)数据结构与算法设计
5,(10299)江苏大学,统考,(028)汽车工程研究院,(085410)(专业学位)人工智能,全日制,(01)人工智能,本专业不招收同等学力身份考生,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)程序设计
6,(10299)江苏大学,统考,(013)计算机科学与通信工程学院,(085410)(专业学位)人工智能,全日制,(01)人工智能,本专业不招收同等学力身份考生,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)程序设计
7,(10299)江苏大学,统考,(027)物理与电子工程学院,(085408)(专业学位)光电信息工程,全日制,(01)光电信息工程,本专业不招收同等学力身份考生；与南通智能感知研究院等联培10人（第二学年由联培单位安排住宿，学校不再安排）。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(809)大学物理
8,(10299)江苏大学,统考,(013)计算机科学与通信工程学院,(085405)(专业学位)软件工程,非全日制,(01)软件工程,本专业不招收同等学力身份考生,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)程序设计
9,(10299)江苏大学,统考,(013)计算机科学与通信工程学院,(085405)(专业学位)软件工程,全日制,(01)软件工程,本专业不招收同等学力身份考生,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)程序设计
10,(10299)江苏大学,统考,(013)计算机科学与通信工程学院,(085404)(专业学位)计算机技术,非全日制,(01)计算机技术,本专业不招收同等学力身份考生，与国家农业信息化工程技术研究中心联培4人（第二学年由联培单位安排住宿，学校不再安排）,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)程序设计
11,(10299)江苏大学,统考,(013)计算机科学与通信工程学院,(085404)(专业学位)计算机技术,全日制,(01)计算机技术,本专业不招收同等学力身份考生，与国家农业信息化工程技术研究中心联培4人（第二学年由联培单位安排住宿，学校不再安排）,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)程序设计
12,(10299)江苏大学,统考,(007)电气信息工程学院,(085406)(专业学位)控制工程,非全日制,(01)控制工程,本专业不招收同等学力身份考生,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(833)电路与控制基础
13,(10299)江苏大学,统考,(007)电气信息工程学院,(085406)(专业学位)控制工程,全日制,(02)农业电气化与信息化工程,本专业不招收同等学力身份考生,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(833)电路与控制基础
14,(10299)江苏大学,统考,(007)电气信息工程学院,(085406)(专业学位)控制工程,非全日制,(02)农业电气化与信息化工程,本专业不招收同等学力身份考生,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(833)电路与控制基础
15,(10299)江苏大学,统考,(013)计算机科学与通信工程学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,(01)通信工程（含宽带网络、移动通信等）,本专业不招收同等学力身份考生,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(852)通信系统原理
16,(10299)江苏大学,统考,(009)食品与生物工程学院,(085406)(专业学位)控制工程,全日制,(01)食品农产品无损检测,本专业不招收同等学力身份考生,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(833)电路与控制基础
