,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10320)江苏师范大学,统考,(018)电气工程及自动化学院,(085400)(专业学位)电子信息,全日制,(01)控制工程,"初试第四门课和复试科目，考生需自备无字典存储,编程和查询功能的电子计算器",(101)思想政治理论,(204)英语（二）,(302)数学（二）,(861)电工原理
1,(10320)江苏师范大学,统考,(018)电气工程及自动化学院,(085400)(专业学位)电子信息,全日制,(02)电气工程,"初试第四门课和复试科目，考生需自备无字典存储,编程和查询功能的电子计算器",(101)思想政治理论,(204)英语（二）,(302)数学（二）,(861)电工原理
2,(10320)江苏师范大学,统考,(017)机电工程学院,(085400)(专业学位)电子信息,全日制,(01)机械电子工程,初试第四门课，考生需自备无字典存储、编程和查询功能的电子计算器,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(858)机械原理
3,(10320)江苏师范大学,统考,(015)地理测绘与城乡规划学院,(085400)(专业学位)电子信息,全日制,(01)测绘工程,初试第四门科目，考生需自备无字典存储、编程和查询功能的电子计算器,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(828)测量学
4,(10320)江苏师范大学,统考,(013)物理与电子工程学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(850)数字电子技术
5,(10320)江苏师范大学,统考,(013)物理与电子工程学院,(085408)(专业学位)光电信息工程,全日制,(00)不区分研究方向,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(848)普通物理（力学、电磁学）
6,(10320)江苏师范大学,统考,(006)智慧教育学院（计算机科学与技术学院）,(085404)(专业学位)计算机技术,全日制,(03)大数据技术与工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(878)程序设计与数据结构
7,(10320)江苏师范大学,统考,(006)智慧教育学院（计算机科学与技术学院）,(085404)(专业学位)计算机技术,全日制,(04)网络与信息安全,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(878)程序设计与数据结构
8,(10320)江苏师范大学,统考,(006)智慧教育学院（计算机科学与技术学院）,(085404)(专业学位)计算机技术,全日制,(02)人工智能,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(878)程序设计与数据结构
9,(10320)江苏师范大学,统考,(006)智慧教育学院（计算机科学与技术学院）,(085404)(专业学位)计算机技术,全日制,(01)软件工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(878)程序设计与数据结构
