,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10294)河海大学,统考,(007)信息学部（计算机与信息学院）,(081200)计算机科学与技术,全日制,(04)多媒体技术及应用,不招收同等学力考生。,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(838)计算机技术基础
1,(10294)河海大学,统考,(007)信息学部（计算机与信息学院）,(081200)计算机科学与技术,全日制,(01)分布式计算与处理,不招收同等学力考生。,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(838)计算机技术基础
2,(10294)河海大学,统考,(007)信息学部（计算机与信息学院）,(081200)计算机科学与技术,全日制,(03)人工智能,不招收同等学力考生。,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(838)计算机技术基础
3,(10294)河海大学,统考,(007)信息学部（计算机与信息学院）,(081200)计算机科学与技术,全日制,(02)数据与知识工程,不招收同等学力考生。,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(838)计算机技术基础
4,(10294)河海大学,统考,(007)信息学部（计算机与信息学院）,(081200)计算机科学与技术,全日制,(05)水信息学,不招收同等学力考生。,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(838)计算机技术基础
5,(10294)河海大学,单考,(007)信息学部（计算机与信息学院）,(085400)(专业学位)电子信息,非全日制,(02)电子与信息工程,备注：,(111)单独考试思想政治理论,(251)英语（单）,(650)数学（单）,(845)电子技术基础
6,(10294)河海大学,单考,(007)信息学部（计算机与信息学院）,(085400)(专业学位)电子信息,非全日制,(01)计算机及软件工程,备注：,(111)单独考试思想政治理论,(251)英语（单）,(650)数学（单）,(838)计算机技术基础
7,(10294)河海大学,统考,(007)信息学部（计算机与信息学院）,(085400)(专业学位)电子信息,非全日制,(01)计算机及软件工程,1. 01 方向单独排名，全日制招生计划共96 人，其中推免计划20 人；非全日制招生计划6人。02 方向单独排名，全日制招生计划共49人，其中推免计划8 人；非全日制招生计划6 人。2. 不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(838)计算机技术基础
8,(10294)河海大学,统考,(013)信息学部（物联网工程学院）,(085400)(专业学位)电子信息,全日制,(09)微电子与集成电路工程,1.06、09方向一起排名，全日制招生计划共47人，其中推免计划5人；07方向单独排名，全日制招生计划共30人，其中推免计划2人；08方向单独排名，全日制招生计划共16人，其中推免计划1人。2.不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(863)信号与系统
9,(10294)河海大学,统考,(013)信息学部（物联网工程学院）,(085400)(专业学位)电子信息,全日制,(08)自动化与智能工程,1.06、09方向一起排名，全日制招生计划共47人，其中推免计划5人；07方向单独排名，全日制招生计划共30人，其中推免计划2人；08方向单独排名，全日制招生计划共16人，其中推免计划1人。2.不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(827)自动控制原理基础
10,(10294)河海大学,统考,(013)信息学部（物联网工程学院）,(085400)(专业学位)电子信息,全日制,(07)计算机及软件工程,1.06、09方向一起排名，全日制招生计划共47人，其中推免计划5人；07方向单独排名，全日制招生计划共30人，其中推免计划2人；08方向单独排名，全日制招生计划共16人，其中推免计划1人。2.不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(890)算法与数据结构
11,(10294)河海大学,统考,(013)信息学部（物联网工程学院）,(085400)(专业学位)电子信息,全日制,(06)电子与信息工程,1.06、09方向一起排名，全日制招生计划共47人，其中推免计划5人；07方向单独排名，全日制招生计划共30人，其中推免计划2人；08方向单独排名，全日制招生计划共16人，其中推免计划1人。2.不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(863)信号与系统
12,(10294)河海大学,统考,(007)信息学部（计算机与信息学院）,(085400)(专业学位)电子信息,非全日制,(02)电子与信息工程,1. 01 方向单独排名，全日制招生计划共96 人，其中推免计划20 人；非全日制招生计划6人。02 方向单独排名，全日制招生计划共49人，其中推免计划8 人；非全日制招生计划6 人。2. 不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(845)电子技术基础
13,(10294)河海大学,统考,(007)信息学部（计算机与信息学院）,(085400)(专业学位)电子信息,全日制,(02)电子与信息工程,1. 01 方向单独排名，全日制招生计划共96 人，其中推免计划20 人；非全日制招生计划6人。02 方向单独排名，全日制招生计划共49人，其中推免计划8 人；非全日制招生计划6 人。2. 不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(845)电子技术基础
14,(10294)河海大学,统考,(006)能源与电气学院,(085400)(专业学位)电子信息,全日制,(05)控制理论及其应用,不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(822)电路
15,(10294)河海大学,统考,(006)能源与电气学院,(085400)(专业学位)电子信息,全日制,(04)测控系统,不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(822)电路
16,(10294)河海大学,统考,(006)能源与电气学院,(085400)(专业学位)电子信息,非全日制,(03)电气自动化新技术,不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(822)电路
17,(10294)河海大学,统考,(007)信息学部（计算机与信息学院）,(085400)(专业学位)电子信息,全日制,(01)计算机及软件工程,1. 01 方向单独排名，全日制招生计划共96 人，其中推免计划20 人；非全日制招生计划6人。02 方向单独排名，全日制招生计划共49人，其中推免计划8 人；非全日制招生计划6 人。2. 不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(838)计算机技术基础
18,(10294)河海大学,统考,(006)能源与电气学院,(085400)(专业学位)电子信息,非全日制,(04)测控系统,不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(822)电路
19,(10294)河海大学,统考,(006)能源与电气学院,(085400)(专业学位)电子信息,非全日制,(05)控制理论及其应用,不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(822)电路
20,(10294)河海大学,统考,(006)能源与电气学院,(085400)(专业学位)电子信息,全日制,(03)电气自动化新技术,不招收同等学力考生。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(822)电路
