,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(10285)苏州大学,统考,(018)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(06)嵌入式系统,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(872)数据结构与操作系统
1,(10285)苏州大学,统考,(018)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(05)图像处理与模式分析,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(872)数据结构与操作系统
2,(10285)苏州大学,统考,(018)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(04)软件形式化与自动推理,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(872)数据结构与操作系统
3,(10285)苏州大学,统考,(018)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(02)机器学习与数据挖掘,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(872)数据结构与操作系统
4,(10285)苏州大学,统考,(018)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(03)高性能计算与分布式系统,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(872)数据结构与操作系统
5,(10285)苏州大学,统考,(018)计算机科学与技术学院,(081200)计算机科学与技术,全日制,(01)中文信息与自然语言处理,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(872)数据结构与操作系统
6,(10285)苏州大学,统考,(018)计算机科学与技术学院,(085411)(专业学位)大数据技术与工程,全日制,(01)大数据技术与工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(872)数据结构与操作系统
7,(10285)苏州大学,统考,(026)光电科学与工程学院,(085406)(专业学位)控制工程,全日制,(01)控制工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(842)自动控制原理
8,(10285)苏州大学,统考,(026)光电科学与工程学院,(085408)(专业学位)光电信息工程,全日制,(01)光电信息工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(841)应用光学
9,(10285)苏州大学,统考,(018)计算机科学与技术学院,(085412)(专业学位)网络与信息安全,全日制,(01)网络与信息安全,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(872)数据结构与操作系统
10,(10285)苏州大学,统考,(018)计算机科学与技术学院,(085410)(专业学位)人工智能,全日制,(01)人工智能,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(872)数据结构与操作系统
11,(10285)苏州大学,统考,(018)计算机科学与技术学院,(085405)(专业学位)软件工程,全日制,(01)软件工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(872)数据结构与操作系统
12,(10285)苏州大学,统考,(018)计算机科学与技术学院,(085404)(专业学位)计算机技术,全日制,(01)计算机技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(872)数据结构与操作系统
13,(10285)苏州大学,统考,(017)电子信息学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,(01)通信工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(837)信号系统与数字逻辑
14,(10285)苏州大学,统考,(017)电子信息学院,(085403)(专业学位)集成电路工程,全日制,(01)集成电路工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(863)半导体物理基础与数字逻辑
15,(10285)苏州大学,统考,(017)电子信息学院,(085401)(专业学位)新一代电子信息技术（含量子技术等）,全日制,(01)新一代电子信息技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(837)信号系统与数字逻辑
