,school,test,college,subject,style,direction,Remarks,polite,language,math,project
0,(91004)陆军工程大学,统考,(201)石家庄校区,(081200)计算机科学与技术,全日制,(02)计算机仿真,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
1,(91004)陆军工程大学,统考,(201)石家庄校区,(081200)计算机科学与技术,全日制,(03)战场网络技术,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
2,(91004)陆军工程大学,统考,(201)石家庄校区,(081200)计算机科学与技术,全日制,(01)人工智能及其应用,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
3,(91004)陆军工程大学,统考,(103)指挥控制工程学院,(081200)计算机科学与技术,全日制,(04)服务计算,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
4,(91004)陆军工程大学,统考,(103)指挥控制工程学院,(081200)计算机科学与技术,全日制,(03)人工智能,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
5,(91004)陆军工程大学,统考,(103)指挥控制工程学院,(081200)计算机科学与技术,全日制,(02)无线网络,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
6,(91004)陆军工程大学,统考,(103)指挥控制工程学院,(081200)计算机科学与技术,全日制,(01)军事信息网络,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
7,(91004)陆军工程大学,统考,(101)通信工程学院,(081200)计算机科学与技术,全日制,(03)战场信息处理,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
8,(91004)陆军工程大学,统考,(101)通信工程学院,(081200)计算机科学与技术,全日制,(01)网络体系结构与应用管理,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
9,(91004)陆军工程大学,统考,(101)通信工程学院,(081200)计算机科学与技术,全日制,(02)人工智能,备注：,(101)思想政治理论,(201)英语（一）,(301)数学（一）,(811)数据结构
10,(91004)陆军工程大学,统考,(103)指挥控制工程学院,(085400)(专业学位)电子信息,非全日制,(03)【计算机技术】物联网应用工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)数据结构
11,(91004)陆军工程大学,统考,(103)指挥控制工程学院,(085400)(专业学位)电子信息,全日制,(03)【计算机技术】物联网应用工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)数据结构
12,(91004)陆军工程大学,统考,(103)指挥控制工程学院,(085400)(专业学位)电子信息,非全日制,(01)【计算机技术】网络体系结构与应用管理,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)数据结构
13,(91004)陆军工程大学,统考,(103)指挥控制工程学院,(085400)(专业学位)电子信息,非全日制,(02)【计算机技术】人工智能应用,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)数据结构
14,(91004)陆军工程大学,统考,(103)指挥控制工程学院,(085400)(专业学位)电子信息,全日制,(01)【计算机技术】网络体系结构与应用管理,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)数据结构
15,(91004)陆军工程大学,统考,(103)指挥控制工程学院,(085400)(专业学位)电子信息,全日制,(02)【计算机技术】人工智能应用,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)数据结构
16,(91004)陆军工程大学,统考,(102)野战工程学院,(085400)(专业学位)电子信息,非全日制,(04)【光电信息工程】光电探测与信息处理技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(806)电路分析
17,(91004)陆军工程大学,统考,(102)野战工程学院,(085400)(专业学位)电子信息,非全日制,(02)【光电信息工程】光电功能材料及伪装应用,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)材料科学基础
18,(91004)陆军工程大学,统考,(102)野战工程学院,(085400)(专业学位)电子信息,全日制,(03)【光电信息工程】光电特征模拟与效果评估技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)光电技术
19,(91004)陆军工程大学,统考,(102)野战工程学院,(085400)(专业学位)电子信息,非全日制,(03)【光电信息工程】光电特征模拟与效果评估技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)光电技术
20,(91004)陆军工程大学,统考,(102)野战工程学院,(085400)(专业学位)电子信息,全日制,(04)【光电信息工程】光电探测与信息处理技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(806)电路分析
21,(91004)陆军工程大学,统考,(102)野战工程学院,(085400)(专业学位)电子信息,非全日制,(01)【光电信息工程】光电特征控制与伪装技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)光电技术
22,(91004)陆军工程大学,统考,(102)野战工程学院,(085400)(专业学位)电子信息,全日制,(02)【光电信息工程】光电功能材料及伪装应用,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(805)材料科学基础
23,(91004)陆军工程大学,统考,(101)通信工程学院,(085400)(专业学位)电子信息,非全日制,(08)【计算机技术】网络信息技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)数据结构
24,(91004)陆军工程大学,统考,(102)野战工程学院,(085400)(专业学位)电子信息,全日制,(01)【光电信息工程】光电特征控制与伪装技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(804)光电技术
25,(91004)陆军工程大学,统考,(101)通信工程学院,(085400)(专业学位)电子信息,全日制,(06)【通信工程】微系统与智能信息处理,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(807)信号与系统
26,(91004)陆军工程大学,统考,(101)通信工程学院,(085400)(专业学位)电子信息,非全日制,(06)【通信工程】微系统与智能信息处理,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(807)信号与系统
27,(91004)陆军工程大学,统考,(101)通信工程学院,(085400)(专业学位)电子信息,非全日制,(07)【通信工程】光电与微波工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(806)电路分析
28,(91004)陆军工程大学,统考,(101)通信工程学院,(085400)(专业学位)电子信息,全日制,(08)【计算机技术】网络信息技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)数据结构
29,(91004)陆军工程大学,统考,(101)通信工程学院,(085400)(专业学位)电子信息,全日制,(07)【通信工程】光电与微波工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(806)电路分析
30,(91004)陆军工程大学,统考,(101)通信工程学院,(085400)(专业学位)电子信息,非全日制,(05)【通信工程】智能网电工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(807)信号与系统
31,(91004)陆军工程大学,统考,(101)通信工程学院,(085400)(专业学位)电子信息,全日制,(05)【通信工程】智能网电工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(807)信号与系统
32,(91004)陆军工程大学,统考,(101)通信工程学院,(085400)(专业学位)电子信息,非全日制,(03)【通信工程】移动通信工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(807)信号与系统
33,(91004)陆军工程大学,统考,(101)通信工程学院,(085400)(专业学位)电子信息,非全日制,(04)【通信工程】战术信息系统,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(813)计算机网络
