职位名称,职位地址,薪资,学历经验要求,公司名称,公司信息,公司福利,详情页链接
Python 爬虫工程师,北京·海淀区·上地,20-40K,3-5年学历不限,墨云科技,信息安全B轮100-499人,零食下午茶，餐补，定期体检，节日福利，年终奖，加班补助，五险一金，带薪年假，股票期权,https://www.zhipin.com/job_detail/3dd042791ae5b45f0XNy29i7EVY~.html
底薪20K 双休 python,北京·海淀区·五道口,20-21K,3-5年大专,惠承科技,企业服务100-499人,年终奖，员工旅游，五险一金，节日福利，零食下午茶，定期体检，带薪年假，交通补助,https://www.zhipin.com/job_detail/b845e2156d7e62de1XV93tq6F1tW.html
Python 开发工程师,北京·海淀区·西二旗,18-35K·14薪,5-10年本科,星云Clustar,互联网B轮100-499人,交通补助，定期体检，餐补，年终奖，节日福利，零食下午茶，带薪年假，补充医疗保险，五险一金，股票期权，员工旅游,https://www.zhipin.com/job_detail/43f73681f832fb8e1nBz2tq7F1RS.html
Python 后端开发工程师,北京·朝阳区·望京,15-25K,经验不限学历不限,北京知道创宇,信息安全C轮1000-9999人,春节假期，通讯补贴，全勤奖，八险一金，年终奖，零食下午茶，补充医疗保险，节日福利，员工旅游，带薪年假，交通补助，餐补，定期体检，股票期权,https://www.zhipin.com/job_detail/f7fe4279d46a87901nF72Nq1FlJX.html
Python 开发工程师,北京·朝阳区·国贸,15-22K·14薪,3-5年本科,先胜业财,企业服务C轮100-499人,带薪年假，年终奖，节日福利，加班补助，股票期权，零食下午茶，通讯补贴，五险一金，定期体检，员工旅游,https://www.zhipin.com/job_detail/d8dcf215a266cc7b1nJ92tS1FFBU.html
python 后端开发工程师,北京·朝阳区·国贸,10-15K,1-3年本科,CSM,数据服务不需要融资1000-9999人,带薪年假，餐补，五险一金，补充医疗保险，节日福利，定期体检，零食下午茶，加班补助,https://www.zhipin.com/job_detail/d232b264b51d22c91nVy39y8FlpV.html
Python 爬虫工程师,北京·石景山区·鲁谷,12-18K,1-3年大专,优美庄,电子商务0-20人,,https://www.zhipin.com/job_detail/442e3bc0eaa730761XV82N61FFZZ.html
python 数据处理工程师,北京·海淀区·西北旺,13-26K,1-3年本科,北京百度网讯有限公司,互联网已上市10000人以上,五险一金，工作氛围好，免费班车，通讯补贴，股票期权，团队nice，交通补助，定期体检，节日福利，年终奖，零食下午茶，带薪年假，补充医疗保险，不打卡，包吃，员工旅游，餐补,https://www.zhipin.com/job_detail/af567da91929a5271nVz3dW5F1NQ.html
Python web 后端开发,北京·朝阳区·三元桥,15-25K·13薪,经验不限大专,泽创天成,医疗健康A轮20-99人,节日福利，定期体检，带薪年假，股票期权，五险一金，零食下午茶，年终奖，员工旅游,https://www.zhipin.com/job_detail/3bc7260f0ce2567e1nN52d-0F1tR.html
python （中高级 急岗）,北京·石景山区·鲁谷,15-30K,3-5年本科,中软国际,计算机软件已上市10000人以上,零食下午茶，节日福利，餐补，定期体检，带薪年假，加班补助，员工旅游，年终奖，五险一金，免费班车,https://www.zhipin.com/job_detail/fee6c2fabb3cacb91nJ_3N64ElFZ.html
Python 后台开发工程师,北京·东城区·建国门内,13-18K,3-5年本科,汇智翔宇,计算机软件不需要融资100-499人,,https://www.zhipin.com/job_detail/7dd1db09079ebec91n173d64FVdX.html
PYTHON 开发工程师,北京·朝阳区·望京,20-30K·13薪,10年以上本科,慧视云创,计算机软件未融资20-99人,节日福利，年终奖，带薪年假，五险一金,https://www.zhipin.com/job_detail/9ddeb9976173eb181nJ42dS-FFFZ.html
Python 工程师,北京·朝阳区·国贸,15-30K·13薪,1-3年本科,垄傲咨询,咨询0-20人,,https://www.zhipin.com/job_detail/748fdc4348f03cbf1XR43tm1E1VV.html
Python Django后端开发,北京·丰台区·马家堡,15-30K·14薪,3-5年大专,集简慧通,企业服务天使轮20-99人,带薪年假，加班补助，年终奖，五险一金，交通补助，通讯补贴，股票期权，零食下午茶，员工旅游，餐补,https://www.zhipin.com/job_detail/2dcfc4197b85e6451nNz39u_FlJQ.html
Python,北京·海淀区·西北旺,20-35K,3-5年本科,强网软件,计算机软件未融资20-99人,,https://www.zhipin.com/job_detail/452f450b4475d28b1XVy29S1EFZQ.html
Python,北京·朝阳区·建国门,20-40K,5-10年本科,倒映有声,互联网A轮0-20人,五险一金，员工旅游，零食下午茶，带薪年假，节日福利，股票期权,https://www.zhipin.com/job_detail/6e118a93d6b75fa21nB-2di-EFRT.html
Python,北京·海淀区·五道口,300-500元/天,5天/周4个月本科,Momenta,互联网C轮500-999人,,https://www.zhipin.com/job_detail/a017aef7f88cc0be1nx_3d66ElJX.html
Python,北京·昌平区·沙河,10-15K,1-3年本科,百世诺,医疗健康A轮100-499人,带薪年假，五险一金，员工旅游，股票期权，加班补助，年终奖,https://www.zhipin.com/job_detail/953013d7ea404acc1HZ729-6E1c~.html
Python,北京·海淀区·西北旺,11-18K,5-10年大专,启众软件,计算机软件未融资20-99人,,https://www.zhipin.com/job_detail/b4481b4894abb0321nx42NW_F1ZW.html
Python,北京·海淀区·五道口,15-20K,1-3年大专,易宝软件,互联网不需要融资1000-9999人,六险一金，带薪年假，员工旅游，节日福利，加班补助，通讯补贴，五险一金，补充医疗保险，餐补，定期体检，零食下午茶，交通补助，双休,https://www.zhipin.com/job_detail/90bb11d2ae77103f1XR_29W0FVVS.html
Python,北京·海淀区·五道口,15-20K·14薪,1年以内本科,Momenta,互联网C轮500-999人,,https://www.zhipin.com/job_detail/a47c1cbcc34ebf0c1n1439m-EFNY.html
Python,北京·房山区·长阳,12-20K,1-3年本科,谦业,企业服务不需要融资20-99人,通讯补贴，全勤奖，餐补，五险一金，带薪年假，员工旅游，年终奖，交通补助，住房补贴，加班补助,https://www.zhipin.com/job_detail/3f52e4119c44db3c1n1z0t69EVtY.html
Python,北京·朝阳区·立水桥,8-13K,3-5年大专,高飞教育咨询,培训机构未融资20-99人,,https://www.zhipin.com/job_detail/c7cf50f0574ec2b73nNz3dS7E1o~.html
python,北京·昌平区·沙河,20-35K,3-5年本科,慧聪云信大数据,互联网已上市100-499人,五险一金，餐补，员工旅游，带薪年假，股票期权，年终奖，节日福利，免费班车，定期体检,https://www.zhipin.com/job_detail/803baff050047c351nxz09y4FFpS.html
Python,北京·海淀区·上地,20-40K·16薪,1-3年本科,华为,计算机软件不需要融资10000人以上,员工旅游，零食下午茶，定期体检，加班补助，五险一金，节日福利，餐补，股票期权，年终奖，补充医疗保险,https://www.zhipin.com/job_detail/4e679b502f8c40751nJz3tW4GVFT.html
Python,北京·大兴区·亦庄,10-15K·13薪,3-5年大专,龙申文化,培训机构不需要融资0-20人,,https://www.zhipin.com/job_detail/b1867069804a11121XV909m5FVBS.html
Python,北京·海淀区·蓟门桥,12-15K,1-3年本科,数美科技,医疗健康天使轮0-20人,,https://www.zhipin.com/job_detail/eadd98104879006c1XR_09u9EVRQ.html
python,北京·海淀区·上地,20-40K,3-5年本科,节点数聚,数据服务未融资20-99人,定期体检，加班补助，带薪年假，节日福利,https://www.zhipin.com/job_detail/16feeccb3657ded41XV43Nq-FFRZ.html
Python,北京·海淀区·牡丹园,30-60K·15薪,3-5年本科,北京字节跳动,移动互联网D轮及以上10000人以上,补充医疗保险，节日福利，嘀嘀打车，餐补，年终奖，住房补贴，带薪年假，加班补助，五险一金，股票期权，免费健身房，零食下午茶,https://www.zhipin.com/job_detail/9186d1471234626f1n1829-7E1I~.html
Python,北京·海淀区·五道口,15-20K,1-3年硕士,Veritas,企业服务不需要融资1000-9999人,补充医疗保险，年终奖，节日福利，定期体检，交通补助，带薪年假，通讯补贴，五险一金，零食下午茶,https://www.zhipin.com/job_detail/f3e94d8317031bc93nV60t69GFM~.html
Python,北京·朝阳区·望京,15-22K,3-5年大专,阿里巴巴集团,互联网已上市10000人以上,年终奖，交通补助，股票期权，免费班车，五险一金，零食下午茶，餐补，员工旅游，补充医疗保险，节日福利,https://www.zhipin.com/job_detail/275589667a13f70b1XR_39i4FVpT.html
Python,北京·丰台区·科技园区,12-18K,1-3年大专,易思汇,电子商务B轮100-499人,五险一金，通讯补贴，补充医疗保险，带薪年假，股票期权，年终奖，节日福利,https://www.zhipin.com/job_detail/777e8510714850581XV92Ni5E1FR.html
Python,北京·东城区·王府井,15-30K·13薪,1-3年初中及以下,视觉变色龙,电子商务不需要融资20-99人,年终奖，带薪年假，零食下午茶，员工旅游，股票期权，五险一金，节日福利，定期体检，海外购物福利,https://www.zhipin.com/job_detail/5d7192d53668174c1n1729i7FlJX.html
Python,北京·朝阳区·安贞,15-25K,3-5年本科,众趣科技,互联网B轮100-499人,交通补助，餐补，年终奖，零食下午茶，带薪年假，看电影，通讯补贴，五险一金，部门聚餐，茶话会，补充医疗保险，定期体检，节日福利，员工旅游,https://www.zhipin.com/job_detail/1bca8aaad5384e781nJ52Nu6GFBW.html
Python,北京·海淀区·西北旺,11-18K,1-3年大专,娜迦信息,信息安全D轮及以上100-499人,五险一金，股票期权，年终奖，员工旅游，免费班车，带薪年假，餐补，节日福利，定期体检，零食下午茶,https://www.zhipin.com/job_detail/3c412155664705701XV53N-4FFNR.html
python,北京·怀柔区·雁栖,10-15K,3-5年本科,大微天成,计算机硬件未融资20-99人,五险一金，员工旅游，节日福利，年终奖，零食下午茶，带薪年假,https://www.zhipin.com/job_detail/37e2e89719eccc7f1nV739W6FldV.html
Python,北京·海淀区·清河,15-25K·13薪,3-5年本科,汇医慧影,医疗健康100-499人,,https://www.zhipin.com/job_detail/d632404eee5cec301nF62tq4F1BR.html
Python,北京·海淀区·颐和园,12-20K,3-5年本科,重庆新致金服,计算机软件未融资1000-9999人,定期体检，股票期权，年终奖，节日福利，五险一金，加班补助，带薪年假，员工旅游,https://www.zhipin.com/job_detail/114413c41d9c34891XV93Ni0GFRQ.html
python,北京·海淀区·上地,15-30K,5-10年本科,渊亭科技,计算机软件A轮100-499人,餐补，节日福利，交通补助，全勤奖，员工旅游，五险一金，零食下午茶，带薪年假，年终奖,https://www.zhipin.com/job_detail/14ba190e60a71c761HF90tu6Flc~.html
Python,北京·海淀区·上地,20-40K·14薪,3-5年本科,墨云科技,信息安全B轮100-499人,加班补助，定期体检，股票期权，年终奖，节日福利，零食下午茶，带薪年假，餐补，五险一金,https://www.zhipin.com/job_detail/6e57f9e9796d95de1nd42tm9FFtT.html
Python,北京,9-14K,1-3年本科,杭州华用,通信/网络设备0-20人,,https://www.zhipin.com/job_detail/f7ac3a6b1fcd03771nV92dq1FltQ.html
Python,北京·大兴区·亦庄,10-15K,1-3年本科,欣川科技,移动互联网未融资20-99人,五险一金，节日福利,https://www.zhipin.com/job_detail/4318067458eba7af1XR-0ty4FltQ.html
Python,北京·昌平区·沙河,11-18K,1-3年本科,北京纬创,计算机软件不需要融资1000-9999人,定期体检，节日福利，员工旅游，零食下午茶，带薪年假，五险一金,https://www.zhipin.com/job_detail/8cd989f5e7f9e21a1nN52tu4ElBX.html
Python,北京·朝阳区·百子湾,11-20K,1-3年本科,深度智耀,互联网B轮100-499人,定期体检，补充医疗保险，节日福利，住房补贴，零食下午茶，五险一金，股票期权,https://www.zhipin.com/job_detail/f16656abf86bd3b31XR_09y5EFBS.html
Python,北京·海淀区·西北旺,13-20K·13薪,1-3年本科,中国科学院软件研究所,计算机软件不需要融资1000-9999人,年终奖，节日福利，五险一金，带薪年假，定期体检,https://www.zhipin.com/job_detail/ae8bdde95d5aa2a81nZ709W6FlFX.html
Python,北京·海淀区·上地,16-25K·15薪,3-5年本科,中睿天下,信息安全C轮100-499人,员工旅游，餐补，零食下午茶，五险一金，加班补助，节日福利，补充医疗保险，股票期权，全勤奖，带薪年假,https://www.zhipin.com/job_detail/b32d4b067c5dcb3e1nRz3ti-E1pS.html
Python,北京·朝阳区·红庙,20-35K·14薪,经验不限学历不限,北京推想科技,数据服务D轮及以上100-499人,餐补，带薪年假，年终奖，零食下午茶，节日福利，补充医疗保险，员工旅游，交通补助，五险一金,https://www.zhipin.com/job_detail/b04c81fe6cd2d38a1nF_0tq8E1RX.html
Python,北京·朝阳区·团结湖,14-28K,1-3年学历不限,宇链科技,互联网不需要融资20-99人,年终奖，补充医疗保险，员工旅游，零食下午茶，加班补助，定期体检，带薪年假，全勤奖，五险一金，股票期权，节日福利,https://www.zhipin.com/job_detail/287999bfade61b261n162Nm5ElZY.html
Python,北京,10-15K,1-3年大专,中乙科技,计算机服务20-99人,,https://www.zhipin.com/job_detail/528c4c59148473841nBy39y8GFpT.html
Python,北京·石景山区·苹果园,8-10K,3-5年本科,华电数码,电力/热力/燃气/水利未融资100-499人,带薪年假，员工食堂，定期体检，五险一金，节日福利，员工旅游，补充医疗保险,https://www.zhipin.com/job_detail/0cab12aca357a48c1XV839-8FVpV.html
Python,北京·朝阳区·酒仙桥,12-15K,经验不限本科,软通动力信息技术集团,计算机软件已上市10000人以上,免费班车，全勤奖，通讯补贴，定期体检，节日福利，年终奖，交通补助，餐补，零食下午茶，带薪年假，补充医疗保险，五险一金，员工旅游，加班补助，包吃,https://www.zhipin.com/job_detail/19a52453f0923f601XZ82NW7ElRW.html
python,北京·海淀区·西北旺,15-30K·14薪,经验不限本科,华为,计算机软件不需要融资10000人以上,年终奖，节日福利，加班补助，股票期权，定期体检，零食下午茶，员工旅游，餐补，补充医疗保险，五险一金,https://www.zhipin.com/job_detail/191963c1147aabad1nd63di0FFBX.html
Python,北京·海淀区·知春路,20-30K,5-10年本科,神州飞跃,移动互联网0-20人,,https://www.zhipin.com/job_detail/1206a7b396de89351XR829u5EFtV.html
Python,北京·朝阳区·望京,17-22K,3-5年大专,阿里巴巴集团,互联网已上市10000人以上,补充医疗保险，零食下午茶，免费班车，餐补，年终奖，股票期权，员工旅游，五险一金，交通补助，节日福利,https://www.zhipin.com/job_detail/756b68ad60e99a5c1XR_3d-6EVpV.html
PYTHON 开发工程师（企业内部系统）,北京·海淀区·西北旺,20-40K·15薪,经验不限本科,Aibee,互联网B轮500-999人,免费班车，住房补贴，零食下午茶，带薪年假，股票期权，年终奖，五险一金，技术氛围好，餐补，补充医疗保险，节日福利，定期体检,https://www.zhipin.com/job_detail/299f41566784c1131nV43ty5EVtT.html
Python,北京,15-25K,1-3年本科,奇点消解,计算机软件0-20人,,https://www.zhipin.com/job_detail/86c6cc44a20ed2c31nF909i1GFtT.html
Python,北京,12-16K,经验不限本科,利邦研究院,计算机软件0-20人,,https://www.zhipin.com/job_detail/68baa3ab6d7c11511XVy2d-9FFZX.html
Python,北京·朝阳区·立水桥,15-25K,3-5年本科,安知信息,企业服务不需要融资20-99人,年终奖，交通补助，餐补，定期体检，通讯补贴，五险一金，节日福利，带薪年假,https://www.zhipin.com/job_detail/ff6da1a1f80b80851nN50tm6E1A~.html
Python,北京·海淀区·上地,12-20K·13薪,3-5年本科,天融信,信息安全已上市1000-9999人,带薪年假，通讯补贴，补充医疗保险，定期体检，五险一金，春节11天假，股票期权，节日福利，交通补助，带薪病假5天，餐补，年终奖,https://www.zhipin.com/job_detail/779a83f8fd32e35e3nZ929i-ElA~.html
Python,北京·海淀区·中关村,15-20K,3-5年本科,新界教育,计算机软件未融资20-99人,餐补，五险一金，节日福利，带薪年假，年终奖,https://www.zhipin.com/job_detail/c10d6749102921621nF729m6EFZW.html
Python,北京·丰台区·广安门,15-30K,3-5年本科,长城汽车,汽车生产已上市10000人以上,年终奖，五险一金，通讯补贴，加班补助，全勤奖，带薪年假，免费班车，节日福利，包吃，定期体检,https://www.zhipin.com/job_detail/3457c5f3798900d01n1y2tS0FlZS.html
Python,北京·昌平区·回龙观,11-17K,经验不限本科,北京纬创,计算机软件不需要融资1000-9999人,带薪年假，节日福利，零食下午茶，员工旅游，五险一金，定期体检,https://www.zhipin.com/job_detail/c7013e574604dbb11nx839m1GVRV.html
Python,北京·海淀区·西山,8-9K,1-3年本科,中科院信工所,信息安全不需要融资1000-9999人,五险一金，通讯补贴，交通补助，员工旅游，年终奖，定期体检，补充医疗保险，带薪年假，免费班车，节日福利，餐补,https://www.zhipin.com/job_detail/f79b1329d1e966871XV739u8FFdY.html
python,北京·海淀区·西北旺,11-20K,3-5年大专,娜迦信息,信息安全D轮及以上100-499人,年终奖，节日福利，定期体检，员工旅游，股票期权，零食下午茶，餐补，五险一金，免费班车，带薪年假,https://www.zhipin.com/job_detail/d5893506b0bf46261n142ty8GFVT.html
Python,北京·海淀区·上地,16-30K·14薪,3-5年本科,华为,计算机软件不需要融资10000人以上,零食下午茶，节日福利，员工旅游，五险一金，股票期权，加班补助，补充医疗保险，定期体检，餐补，年终奖,https://www.zhipin.com/job_detail/8b6f9714af2684f31XV42tm6FFtY.html
Python,北京·朝阳区·鸟巢,20-30K,3-5年本科,北京京东科技,电子商务未融资1000-9999人,五险一金，带薪年假，定期体检，股票期权，交通补助，补充医疗保险，餐补，节日福利，免费班车,https://www.zhipin.com/job_detail/f0181b790fec1af81nJ409W1EVFT.html
Python,北京·大兴区·亦庄,15-30K,5-10年本科,中金智汇,计算机软件A轮20-99人,年终奖，带薪年假，节日福利，餐补，定期体检，交通补助，五险一金,https://www.zhipin.com/job_detail/dd64f62f1365fc991nB_0t68FlNZ.html
Python,北京·丰台区·丽泽,11-20K,5-10年本科,英莫科技,计算机软件未融资0-20人,股票期权，员工旅游，五险一金，带薪年假，定期体检，节日福利，零食下午茶，交通补助,https://www.zhipin.com/job_detail/05625e7904a3a8ad1nZ93N25FFRY.html
Python,北京·海淀区·清河,15-16K,1-3年本科,北京图羚,互联网20-99人,,https://www.zhipin.com/job_detail/b76061332ed6c7941nF40921FFBV.html
Python讲师,北京·朝阳区·建国门,15-30K,3-5年本科,陨辉科技,培训机构未融资20-99人,补充医疗保险，五险一金，定期体检,https://www.zhipin.com/job_detail/9b04b7f2bbd87bbd1nR-2dW5F1FV.html
Python开发,北京·西城区·西单,25-40K,3-5年本科,中泰证券,互联网金融已上市1000-9999人,交通补助，年终奖，带薪年假，餐补，五险一金，通讯补贴，节日福利，定期体检，全勤奖,https://www.zhipin.com/job_detail/639960b33c51163a0XN53d6_E1A~.html
Python,北京·海淀区·中关村,4-8K,经验不限本科,泰力友,数据服务未融资20-99人,餐补，免费班车，交通补助，年终奖，股票期权，零食下午茶,https://www.zhipin.com/job_detail/3db0ea85d1e533d21nx939i8GFBT.html
python,北京·海淀区·西北旺,12-24K·16薪,3-5年本科,建信金科,银行不需要融资1000-9999人,节日福利，定期体检，餐补，五险一金，带薪年假，零食下午茶，员工关怀，工会福利，年终奖，补充医疗保险,https://www.zhipin.com/job_detail/027a2b7c7917f5cb1nx_2dW6GFdV.html
Python,北京·朝阳区·大望路,14-25K,3-5年大专,诺而为,其他专业服务A轮100-499人,节日福利，员工旅游，通讯补贴，带薪年假，加班补助，五险一金，年终奖,https://www.zhipin.com/job_detail/536d83978342a9061XRz2d2_EFRT.html
Python,北京·西城区·德外大街,9-14K,1-3年本科,CTR,咨询未融资1000-9999人,年终奖，节日福利，交通补助，餐补，住房补贴，补充医疗保险，全勤奖，加班补助，五险一金，带薪年假，定期体检,https://www.zhipin.com/job_detail/2a4fc268f8af97770nZ70tq_FlE~.html
Python,北京·海淀区·马连洼,12-22K,3-5年大专,亿达信息,计算机软件不需要融资1000-9999人,五险一金，补充医疗保险，定期体检，带薪年假，节日福利，加班补助,https://www.zhipin.com/job_detail/6451761e32a629831XZ62Nm5EVJZ.html
Python,北京·朝阳区·来广营,15-18K,3-5年大专,微象限,计算机软件0-20人,,https://www.zhipin.com/job_detail/f8226b3ef764be931XV73Nu9FlVT.html
Python,北京·朝阳区·酒仙桥,15-25K·14薪,3-5年本科,奇虎360,互联网已上市1000-9999人,补充医疗保险，五险一金，交通补助，零食下午茶，年终奖，节日福利，餐补，免费班车，带薪年假，股票期权，包吃，定期体检,https://www.zhipin.com/job_detail/c3e0ef5cc774ef301nJy2N-0GVdT.html
Python开发,北京·大兴区·亦庄,15-25K,1-3年本科,金风科技,计算机软件已上市1000-9999人,五险一金，节日福利，定期体检，餐补，带薪年假，补充医疗保险，免费班车，年终奖，包吃,https://www.zhipin.com/job_detail/4c596b0863adabcc1nV929y5EFJX.html
Python教师,北京·西城区·大栅栏,15-16K,1-3年硕士,英蕤教育科技有限公司,旅游0-20人,,https://www.zhipin.com/job_detail/82c1d9042138b97c1nN-09y7GFJY.html
Python 开发工程师（中级）,北京·东城区·东四,15-25K·13薪,3-5年本科,国研大数据研究院,其他行业未融资20-99人,年终奖，餐补，定期体检，节日福利，带薪年假，补充医疗保险，通讯补贴，五险一金,https://www.zhipin.com/job_detail/5f1c9ae2d5300cf41XV73N-6EVRX.html
python开发,北京·朝阳区·立水桥,12-24K·13薪,经验不限本科,博乐科技,游戏B轮500-999人,年终奖，员工旅游，定期体检，五险一金，零食下午茶，带薪年假，住房补贴，餐补，补充医疗保险，节日福利，包吃,https://www.zhipin.com/job_detail/3ee4531b1625d2a23nV-39u7ElU~.html
Python(华如),北京·海淀区·上地,11-13K,1-3年大专,智蓝云信,计算机软件不需要融资1000-9999人,节日福利，五险一金，带薪年假，零食下午茶,https://www.zhipin.com/job_detail/560c2e6a3679c2f11XZ809S-GFJZ.html
Python工程师,北京·朝阳区·国贸,15-30K,3-5年本科,神州同道,互联网不需要融资100-499人,零食下午茶，定期体检，带薪年假，餐补，五险一金，年终奖，股票期权，补充医疗保险,https://www.zhipin.com/job_detail/6fbdd1b209a2c83c1nV60tW1FVZX.html
Python实习生,北京·朝阳区·三里屯,100-200元/天,4天/周3个月本科,瓜豆科技,互联网不需要融资20-99人,班级式管理，通讯补贴，交通补助，五险一金，节日福利，餐补，零食下午茶,https://www.zhipin.com/job_detail/acf63b67165a44e41nd609i6GVJY.html
Python工程师,北京·朝阳区·798,30-50K·14薪,3-5年本科,一点资讯,移动互联网D轮及以上1000-9999人,股票期权，节日福利，补充医疗保险，定期体检，五险一金，带薪年假，员工旅游，零食下午茶,https://www.zhipin.com/job_detail/4ab2560aeb1515131XZ72d26EFZU.html
Python讲师,北京·海淀区·双榆树,7-12K·13薪,3-5年学历不限,泰克网络实验室,在线教育未融资100-499人,年终奖，节日福利，定期体检，五险一金，带薪年假，通讯补贴,https://www.zhipin.com/job_detail/5f03e8a3478676dc33J_09y-FVo~.html
Python开发,北京·朝阳区·朝外,15-25K,3-5年大专,量天科技,计算机软件100-499人,,https://www.zhipin.com/job_detail/d95f59a34763b9931n1-2tq1GVpR.html
