symbol,name,current,chg,first_percent,current_year_percent,volume,amount,turnover_rate,pe_ttm,dividend_yield,market_capital
SH603119,N浙荣,35.37,20.05,130.87,130.87,50508154,1561753667.0,73.63,70.767,,9903600000.0
SZ301371,N敷尔佳,70.7,15.02,26.98,26.98,27819082,2015432017.69,73.92,33.475,,28285656000.0
SZ301289,国缆检测,43.62,7.27,44.77,35.37,7520429,311935188.44,29.67,47.255,0.883,3402360000.0
SZ301316,慧博云通,27.6,4.6,254.87,44.29,13577524,348360366.27,37.04,124.431,0.29,11040276000.0
SZ300881,盛德鑫泰,40.98,6.83,450.46,41.78,11873286,464542197.42,40.73,56.012,0.798,4507800000.0
SZ301315,威士顿,76.8,10.71,78.69,137.84,15351819,1100431330.98,73.58,102.68,,6758400000.0
SZ301141,中科磁业,72.99,10.16,5.83,78.07,10623593,714127513.24,52.41,87.312,0.274,6466528467.0
SZ300551,古鳌科技,27.3,3.1,43.99,133.73,17186484,442577004.48,7.3,,0.0,9439055235.0
SZ301398,星源卓镁,84.3,9.15,19.59,172.79,12402165,989104033.4,64.35,105.291,0.374,6744000000.0
SH688622,禾信仪器,34.85,3.44,425.42,7.23,2762599,95746251.0,7.28,,0.0,2439416569.0
SH688776,国光电气,87.8,8.46,166.64,-29.79,2203650,184811228.0,6.6,65.689,0.0,9516064188.0
SZ000413,东旭光电,2.05,0.19,66.4,15.82,325878766,657251653.18,6.48,,0.0,11547137393.0
SZ002256,兆新股份,2.7,0.25,32.17,12.97,110787762,291343381.08,7.94,,0.0,5082512054.0
SH600239,云南城投,2.92,0.27,231.07,51.3,117806817,333498626.0,7.34,,0.0,4688605774.0
SZ002630,华西能源,3.15,0.29,30.76,7.14,297349102,920586623.66,28.9,,0.0,3719520000.0
SH600577,精达股份,4.79,0.44,116.87,16.14,185735881,864538200.0,9.31,26.212,2.505,9959122877.0
SH601777,力帆科技,4.36,0.4,23.24,12.95,61715917,264661451.0,2.74,137.896,0.0,19931840280.0
SZ002175,东方智造,3.27,0.3,369.16,-8.66,29054680,93712867.6,2.28,41.983,0.0,4175072977.0
SH600569,安阳钢铁,2.51,0.23,0.74,21.26,171520531,423246793.0,5.97,,0.0,7209777679.0
SH600531,豫光金铅,7.65,0.7,101.5,49.71,123401698,904930019.0,11.32,15.52,1.542,8340356150.0
SH600595,中孚实业,3.28,0.3,89.52,9.33,97076686,307170261.0,2.45,15.96,0.0,13177098614.0
SH600906,财达证券,8.86,0.81,43.88,17.04,219502286,1925071318.0,16.72,67.198,0.564,28750700000.0
SH605162,新中港,10.41,0.95,43.99,23.23,27033371,273290520.0,26.65,41.254,1.441,4168694910.0
SH603536,惠发食品,8.01,0.73,44.04,0.38,7175030,57113223.0,2.93,,0.0,1959584823.0
SZ000608,阳光股份,3.62,0.33,111.22,7.42,111618361,393437460.57,14.88,,0.0,2714686179.0
SZ002471,中超控股,3.18,0.29,121.62,21.84,117780161,362493118.92,9.3,,0.0,4032240000.0
SH600719,大连热电,8.8,0.8,102.59,73.23,70851558,600693432.0,17.51,,0.0,3560476480.0
SH603267,鸿远电子,64.57,5.87,44.02,-35.81,10527513,661304156.0,4.54,23.154,0.573,14987781776.0
SZ000980,众泰汽车,4.84,0.44,137.89,13.62,598684439,2750541821.4,13.96,,0.0,24405931057.0
SH605011,杭州热电,33.0,3.0,43.92,117.73,14875972,475224439.0,12.28,62.116,0.485,13203300000.0
SH600103,青山纸业,3.3,0.3,0.0,49.21,230927224,741531183.0,10.01,37.487,1.515,7609198763.0
SZ000890,法尔胜,5.39,0.49,0.0,40.0,86043809,428525319.33,20.51,,0.0,2261126388.0
SH603685,晨丰科技,15.74,1.43,44.01,67.45,5329978,82048292.0,3.15,,0.0,2660145893.0
SH688627,精智达,90.3,8.2,63.78,93.07,3299030,285493986.0,16.53,106.146,0.0,8489261386.0
SH603132,金徽股份,14.98,1.36,43.98,25.15,24804468,350119835.0,15.54,36.67,3.578,14650440000.0
SH600468,百利电气,5.73,0.52,340.15,43.15,51693921,278926351.0,4.75,50.817,0.593,6232723389.0
SH600361,创新新材,5.84,0.53,118.99,-2.48,18900070,106094136.0,4.04,24.159,1.027,23381015842.0
SZ000004,国华网安,19.62,1.78,-0.99,102.69,28060072,533066225.72,23.6,,0.0,2597301133.0
SZ002377,国创高新,4.08,0.37,34.19,50.0,14192120,57903849.6,1.55,,0.0,3738606820.0
SZ000962,东方钽业,13.58,1.23,251.91,52.76,36439585,471187123.65,8.27,33.833,0.0,6054323110.0
SH600105,永鼎股份,6.97,0.63,0.0,104.4,207903238,1391619949.0,15.05,41.507,0.0,9789882822.0
SZ000506,中润资源,4.87,0.44,-82.4,50.77,104140845,497349013.34,11.21,,0.0,4524316496.0
SH601005,重庆钢铁,1.91,0.17,143.06,20.89,754286389,1403865805.0,9.0,,0.0,17034530330.0
SZ002997,瑞鹄模具,38.31,3.39,43.99,58.63,13201244,490227722.51,11.53,41.889,0.783,7035080794.0
SZ000565,渝三峡A,6.46,0.57,95.95,10.35,31853911,203131391.01,7.35,,0.232,2801005741.0
SZ300394,天孚通信,97.69,8.3,44.0,287.87,25056936,2361952275.55,6.99,93.561,0.512,38564004463.0
SZ301329,信音电子,24.91,2.1,35.76,18.62,22179731,540721025.15,54.38,46.266,0.707,4239682000.0
SZ300042,朗科科技,35.75,2.9,34.49,194.86,15919871,562673343.79,8.87,117.355,0.14,7164300000.0
SZ200413,东旭B,0.89,0.07,4.52,-4.3,2677100,2328031.0,1.07,,0.0,5013147454.0
SZ300880,迦南智能,25.21,1.91,693.42,77.6,21504360,529837839.23,25.26,34.035,1.983,4870475194.0
SZ000037,深南电A,11.38,0.86,4.57,41.9,58779444,649075692.99,17.34,,0.0,6859438342.0
SZ001234,泰慕士,35.8,2.7,43.98,59.06,6850004,239603649.01,23.57,59.062,1.397,3818667860.0
SZ300025,华星创业,14.3,1.05,128.89,201.05,24056687,338439240.63,5.55,720.744,0.0,7275738785.0
SZ300395,菲利华,42.74,3.06,44.01,-21.99,13578459,585353021.26,2.84,43.223,0.445,22054458576.0
SZ301379,天山电子,36.38,2.6,1.87,45.26,11203037,391144809.57,44.21,30.116,1.649,3686749200.0
SZ300091,金通灵,3.29,0.23,16.13,-7.32,119846820,400684928.54,11.19,,0.0,4899350264.0
SH601099,太平洋,4.3,0.3,424.0,67.32,2178042415,9434020346.0,31.95,,0.0,29310160391.0
SH605001,威奥股份,7.61,0.53,43.99,-4.52,23235413,175662081.0,5.91,,0.0,2989862460.0
SZ301037,保立佳,20.25,1.4,109.18,26.01,8918937,188425018.36,31.57,,0.0,2033512351.0
SZ300139,晓程科技,9.9,0.68,30.99,29.24,35647952,357567410.28,15.26,,0.0,2712600000.0
SZ301360,荣旗科技,85.81,5.8,-9.14,19.38,1145494,95348766.5,9.58,70.287,0.0,4577105400.0
SZ301045,天禄科技,27.48,1.85,149.34,69.21,4162264,112960430.17,8.0,253.858,0.0,2834681373.0
SH688122,西部超导,56.65,3.74,266.6,-15.09,20785777,1149944162.0,3.2,34.291,1.26,36803493755.0
SZ300127,银河磁体,20.3,1.33,44.28,36.85,23885809,472506046.25,10.46,35.475,1.97,6559871108.0
SZ300996,普联软件,28.3,1.82,227.73,-2.78,5091042,140968270.98,4.26,37.595,0.756,5696354152.0
SZ300731,科创新源,21.07,1.34,44.03,25.72,15334013,328715021.28,12.76,,0.0,2663918110.0
SH688569,铁科轨道,51.7,3.2,52.89,196.74,5576020,286154480.0,4.23,33.097,0.677,10891468390.0
SZ301191,菲菱科思,90.2,5.57,25.03,66.37,3350145,298130689.96,15.37,34.056,0.853,6254648400.0
SH600658,电子城,6.49,0.4,1000.0,68.04,86944648,561109550.0,7.77,8.569,0.817,7259616942.0
SH600973,宝胜股份,5.52,0.34,17.95,15.72,105622767,570986548.0,7.7,114.989,0.0,7569941689.0
SZ000603,盛达资源,13.76,0.83,69.38,9.55,34924579,471407324.94,5.93,27.462,0.0,9493978201.0
SZ300598,诚迈科技,53.36,3.22,43.99,14.11,12785996,681845790.31,7.99,,0.0,8760842712.0
SZ300933,中辰股份,8.63,0.52,284.57,15.99,22568867,190851183.2,9.61,54.706,0.0,3956925473.0
SZ002716,金贵银业,3.18,0.19,44.04,5.65,117797348,372594428.67,5.4,,0.0,7029323500.0
SH600363,联创光电,37.61,2.23,260.36,58.21,23809868,865335345.0,5.28,56.444,0.157,17121040458.0
SZ301138,华研精机,37.17,2.19,210.2,58.67,6148840,231384126.64,20.5,49.802,1.883,4460400000.0
SZ300378,鼎捷软件,28.26,1.64,44.01,84.92,33565498,928904426.62,12.55,56.266,0.35,7610091032.0
SH603590,康辰药业,35.77,2.03,44.0,44.28,6989717,254797807.0,4.37,50.945,0.559,5723200000.0
SZ300282,*ST三盛,3.18,0.18,32.67,-37.65,15499039,49407670.03,4.14,,0.0,1190294527.0
SH600162,香江控股,2.48,0.14,0.0,41.13,243584973,616957822.0,7.45,27.653,8.468,8105726543.0
SH688073,毕得医药,77.53,4.33,-23.4,33.72,4143834,324449026.0,21.21,44.746,1.419,7046154958.0
SZ300661,圣邦股份,89.39,5.0,44.0,-32.49,5418968,479925265.03,1.21,64.915,0.258,41775055180.0
SZ002533,金杯电工,8.6,0.48,2.54,48.5,59089247,499620661.84,9.42,14.565,4.07,6311893133.0
SZ301229,纽泰格,35.16,1.96,221.6,24.92,6110790,212590893.84,17.91,55.404,0.284,2812800000.0
SH603678,火炬电子,34.36,1.91,44.03,-15.26,11926477,404676867.0,2.6,21.484,1.019,15767700405.0
SZ002893,京能热力,13.35,0.74,44.04,58.65,50846538,664291199.73,25.21,47.495,0.322,2707380000.0
SH600255,鑫科材料,2.37,0.13,204.08,-8.14,101509589,238020705.0,5.62,56.924,0.0,4280568283.0
SZ000571,新大洲A,2.76,0.15,50.67,17.95,60635841,165004976.89,7.45,,0.0,2246816640.0
SH688392,骄成超声,89.67,4.87,69.46,-12.55,1516730,134765645.0,5.94,83.469,0.796,10294116000.0
SZ000060,中金岭南,6.1,0.33,143.75,51.95,151988333,906053223.52,4.07,19.001,1.639,22799024000.0
SZ002180,纳思达,35.39,1.89,163.54,-31.57,18251837,644078976.17,1.43,30.683,0.339,50122069148.0
SH688502,茂莱光学,179.39,9.46,175.39,158.18,860105,151959545.0,7.13,160.236,0.39,9471792000.0
SZ300685,艾德生物,25.46,1.33,44.01,-3.23,10414064,267762358.19,2.62,33.654,0.55,10137065381.0
SH688498,源杰科技,191.93,9.93,15.66,125.36,2989490,557611909.0,16.13,183.739,0.242,16283072498.0
SH688077,大地熊,28.07,1.44,117.35,-19.56,3204879,88242997.0,4.24,56.777,1.528,3174413844.0
SZ300975,商络电子,8.39,0.43,449.64,36.62,53186094,436239474.67,16.42,63.942,0.262,5287390417.0
SH600536,中国软件,54.84,2.79,174.96,22.26,45375728,2458952421.0,5.43,,0.029,47173661010.0
SZ300157,恒泰艾普,3.57,0.18,22.89,11.56,55043459,196492036.97,7.89,,0.0,2542244327.0
SZ300308,中际旭创,134.8,6.8,9.0,399.6,48414577,6416563398.77,6.45,86.129,0.148,108220976882.0
SH688152,麒麟信安,120.95,6.07,212.38,5.76,2897544,349549662.0,16.43,71.862,0.272,9523438387.0
SH601007,金陵饭店,10.56,0.53,214.59,-13.31,84115374,901761578.0,21.57,59.056,0.947,4118400000.0
SH603569,长久物流,12.41,0.62,44.01,41.18,28624545,358341570.0,5.11,227.704,0.0,6953933857.0
SH605580,恒盛能源,12.65,0.63,44.03,52.89,12343083,154167543.0,17.25,28.36,3.391,3542000000.0
SH600992,贵绳股份,19.72,0.98,32.57,-15.83,35747140,697705382.0,14.59,186.0,0.147,4833174800.0
SZ300108,*ST吉药,2.43,0.12,52.93,25.26,21308400,50683975.5,3.25,,0.0,1618415658.0
SZ002586,*ST围海,2.86,0.14,13.68,-39.41,9970000,27877061.0,1.12,,0.0,3272479822.0
SH600307,酒钢宏兴,1.84,0.09,21.82,11.52,316249671,586907549.0,5.05,,0.0,11524577660.0
SH600381,青海春天,9.64,0.47,293.13,-21.69,51594842,495799184.0,8.79,,0.0,5659265543.0
SH603618,杭电股份,6.4,0.31,44.03,22.65,32765369,207530856.0,4.74,31.681,0.781,4422799296.0
SZ000564,ST大集,1.24,0.06,340.0,-22.01,308857140,379511709.64,2.03,,0.0,23763083895.0
SZ000971,ST高升,1.86,0.09,169.91,-1.06,1733900,3225054.0,0.21,,0.0,1950377634.0
SZ002089,*ST新海,1.25,0.06,80.48,-41.04,44722735,55037785.75,3.55,,0.0,1718337020.0
SH688191,智洋创新,16.97,0.81,116.61,34.73,2094365,34831768.0,2.86,352.855,0.707,2605107923.0
SZ300457,赢合科技,26.18,1.24,44.0,48.16,40900918,1061170921.61,7.39,32.333,0.84,17004903871.0
SH600734,ST实达,4.03,0.19,77.69,9.51,3149400,12692082.0,0.15,,0.0,8778561517.0
SZ300886,华业香料,25.7,1.2,393.81,18.19,5139577,135252558.78,15.51,123.411,0.195,1916063500.0
SH600895,张江高科,16.35,0.76,267.8,45.79,74430794,1215290936.0,4.81,20.288,0.979,25321074143.0
SH600666,ST瑞德,2.19,0.1,1360.0,45.7,14739288,32066124.0,0.61,50.362,0.0,6052093126.0
SZ300302,同有科技,14.25,0.65,29.05,108.33,41201905,581566673.89,11.23,,0.0,6864264872.0
SH600023,浙能电力,5.05,0.23,60.58,44.7,82813949,413300614.0,0.62,,0.0,67714100382.0
SH688192,迪哲医药-U,36.09,1.61,-21.83,-8.33,2795188,100704130.0,2.36,,0.0,14730182943.0
SH688301,奕瑞科技,262.69,11.63,33.86,-19.03,446187,115773369.0,0.77,39.481,0.788,26733472959.0
SH603259,药明康德,74.98,3.31,43.98,-6.22,54305172,4064977336.0,2.12,23.449,1.19,222556799915.0
SZ300192,科德教育,12.23,0.54,22.26,70.81,22955720,278755361.11,10.65,42.907,0.0,4025422914.0
SH688565,力源科技,8.85,0.39,176.89,-0.11,11476056,102960850.0,11.77,,0.0,1367893170.0
SZ002608,江苏国信,7.49,0.33,58.48,27.35,15818500,116901661.0,0.42,,1.335,28297816983.0
SZ300411,金盾股份,7.07,0.31,43.98,11.34,21839810,155078601.1,8.08,,0.0,2874096449.0
SZ300201,海伦哲,3.9,0.17,8.71,17.12,36149738,139071509.55,3.49,54.299,0.0,4059593920.0
SH688616,西力科技,13.3,0.58,150.07,29.36,4383502,58188910.0,8.01,32.651,1.579,1995000000.0
SZ000573,粤宏远A,4.18,0.18,52.04,0.47,102815851,418897242.25,16.24,47.422,1.914,2668012925.0
SZ300835,龙磁科技,30.69,1.32,44.0,-14.15,7660502,231214379.49,9.51,39.85,0.652,3687065910.0
